Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_10min_350nlmin_15cm_4-30-2024_Slot2-91_5923.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_10min_350nlmin_15cm_4-30-2024_Slot2-91_5924.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_10min_350nlmin_15cm_4-30-2024_Slot2-91_5925.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_10min_400nlmin_15cm_4-30-2024_Slot2-91_5926.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_10min_400nlmin_15cm_4-30-2024_Slot2-91_5927.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_10min_400nlmin_15cm_4-30-2024_Slot2-91_5928.d
O43617	O43617	TPPC3_HUMAN	TRAPPC3	Trafficking protein particle complex subunit 3	2623.71	1621.43	1793.67	2353.05	2657.82	2171.52
O43633	O43633	CHM2A_HUMAN	CHMP2A	Charged multivesicular body protein 2a	2770.31	2426.3	2203.49	1397.18	2041.27	2331.21
O43663	O43663	PRC1_HUMAN	PRC1	Protein regulator of cytokinesis 1	975.337	919.977	984.153	1366.48	817.727	879.362
O43670	O43670	ZN207_HUMAN	ZNF207	BUB3-interacting and GLEBS motif-containing protein ZNF207	2209.99	2515.79	2680.83	2247.56	2445.38	2356.02
O43676	O43676	NDUB3_HUMAN	NDUFB3	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3	981.502	1158.85	1261.52	864.996	1329.31	729.85
O43678	O43678	NDUA2_HUMAN	NDUFA2	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2	1726.38	1108.54	2240.84	1272.48	1327.72	2484.24
O43681	O43681	GET3_HUMAN	GET3	ATPase GET3	3591.41	3781.09	3542.01	4306.53	3759.18	3299.37
O43684	O43684	BUB3_HUMAN	BUB3	Mitotic checkpoint protein BUB3	3215.99	2300.58	2789.22	2979.03	3250.18	3582.47
O43688	O43688	PLPP2_HUMAN	PLPP2	Phospholipid phosphatase 2		1104.89	1026.72			721.92
O43707	O43707	ACTN4_HUMAN	ACTN4	Alpha-actinin-4	21384.7	21344.2	20583.7	21120.9	21250.3	21576.6
O43709	O43709	BUD23_HUMAN	BUD23	Probable 18S rRNA (guanine-N(7))-methyltransferase	430.644	585.245	386.418		653.51	
O43719	O43719	HTSF1_HUMAN	HTATSF1	HIV Tat-specific factor 1	1420.69	1365.3	811.974	1398.58	1337.42	1530
O43739;Q15438;Q99418	Q15438;Q99418;O43739	CYH1_HUMAN;CYH2_HUMAN;CYH3_HUMAN	CYTH1;CYTH2;CYTH3	Cytohesin-3		337.515				802.865
O43747	O43747	AP1G1_HUMAN	AP1G1	AP-1 complex subunit gamma-1	1634.46	1549.81	2584.07	1312.99	1482.6	2128.96
O43760	O43760	SNG2_HUMAN	SYNGR2	Synaptogyrin-2	1590.97		520.604		956.079	
O43765	O43765	SGTA_HUMAN	SGTA	Small glutamine-rich tetratricopeptide repeat-containing protein alpha	1413.61	1500.22	1634.79	1629.9	2053.45	1748
O43768	O43768	ENSA_HUMAN	ENSA	Alpha-endosulfine	1829.01	2080.52	1398.98	2234.28	2269.24	2760.05
O43776	O43776	SYNC_HUMAN	NARS1	Asparagine--tRNA ligase, cytoplasmic	8268	7236.9	6943.49	7153.56	7790	7082.53
O43795	O43795	MYO1B_HUMAN	MYO1B	Unconventional myosin-Ib	1047.9		608.722		761.465	1105.92
O43805	O43805	SSNA1_HUMAN	SSNA1	Sjoegren syndrome nuclear autoantigen 1				285.72	592.23	
O43809	O43809	CPSF5_HUMAN	NUDT21	Cleavage and polyadenylation specificity factor subunit 5	3153.36	3102.08	3253.82	3100.81	3343.6	2813.98
O43813	O43813	LANC1_HUMAN	LANCL1	Glutathione S-transferase LANCL1	4007.11	3440.18	4225.92	3624.68	5032.46	4444.8
O43815	O43815	STRN_HUMAN	STRN	Striatin			773.334			622.633
O43818	O43818	U3IP2_HUMAN	RRP9	U3 small nucleolar RNA-interacting protein 2	2320.02	467.428	2271.01	1389.51	523.816	2315.49
O43823	O43823	AKAP8_HUMAN	AKAP8	A-kinase anchor protein 8	402.899	673.388	294.572	275.88	266.835	439.577
O43837	O43837	IDH3B_HUMAN	IDH3B	Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial	1628.76	1964.4	1808.38	2305.45	912.236	1548.01
O43847	O43847	NRDC_HUMAN	NRDC	Nardilysin	2095.4	1913.71	1588.98	2292.13	1853.76	1874.57
O43852	O43852	CALU_HUMAN	CALU	Calumenin	8903.32	10233.7	9765.62	9766.19	10320.2	9994.87
O43854	O43854	EDIL3_HUMAN	EDIL3	EGF-like repeat and discoidin I-like domain-containing protein 3	761.184			1035.31		398.583
O43865	O43865	SAHH2_HUMAN	AHCYL1	S-adenosylhomocysteine hydrolase-like protein 1	2963.04	3105.39	2557.45	2846.4	2543.31	2609.79
O43920	O43920	NDUS5_HUMAN	NDUFS5	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5		651.166		910.737		
O43929	O43929;CONT|Q2YDI2|ORC4_BOVIN	ORC4_HUMAN	ORC4	Origin recognition complex subunit 4			561.798		754.626	
O60216	O60216	RAD21_HUMAN	RAD21	Double-strand-break repair protein rad21 homolog	1165.69	1150.47	1137.84	1223.3	923.585	1025.62
O60220	O60220	TIM8A_HUMAN	TIMM8A	Mitochondrial import inner membrane translocase subunit Tim8 A	1196.63	897.658	1204.89	1254.61	1657.78	1434.25
O60232	O60232	ZNRD2_HUMAN	ZNRD2	Protein ZNRD2	1802.16	2185.58	1689.93	1426.53	1197.72	2199.46
O60256	O60256	KPRB_HUMAN	PRPSAP2	Phosphoribosyl pyrophosphate synthase-associated protein 2	1252.09	901.123	981.972	1346.08	1006.31	567.763
O60264	P28370;O60264	SMCA5_HUMAN	SMARCA5	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5	1998.22	2413.96	1916.5	2277.42	2033.9	2322.21
O60271	O60271;Q9UPT6	JIP4_HUMAN	SPAG9	C-Jun-amino-terminal kinase-interacting protein 4	972.133	1235.77	920.934	967.963		1211.26
O60306	O60306	AQR_HUMAN	AQR	RNA helicase aquarius	580.754		1928.21	1033.82		
O60313	O60313	OPA1_HUMAN	OPA1	Dynamin-like 120 kDa protein, mitochondrial	1528.88	1284.7	1269.73	1073.55	1193.27	771.393
O60341	O60341	KDM1A_HUMAN	KDM1A	Lysine-specific histone demethylase 1A	1078.24		638.819	969.446	378.825	1499.17
O60427	O60427	FADS1_HUMAN	FADS1	Acyl-CoA (8-3)-desaturase	2809.47	2830.05	2908.21	2435	3075.1	1641.5
O60437	O60437	PEPL_HUMAN	PPL	Periplakin	5788.19	5197.85	6122.87	5906.27	7434.79	6145.21
O60443	O60443	GSDME_HUMAN	GSDME	Gasdermin-E	2867.9	478.229	361.891			467.825
O60488	O60488	ACSL4_HUMAN	ACSL4	Long-chain-fatty-acid--CoA ligase 4	1615.34	1686.54	1522.75	1523.19	1793.71	1875.76
O60493	O60493	SNX3_HUMAN	SNX3	Sorting nexin-3	2113.44	1521.77	2231.64	2015.69	2150.23	1722.63
O60502	O60502	OGA_HUMAN	OGA	Protein O-GlcNAcase	1986.43			825.726	1612.41	866.235
O60506	O60506	HNRPQ_HUMAN	SYNCRIP	Heterogeneous nuclear ribonucleoprotein Q	6243.91	5775.1	5831.38	6043.46	5719.25	5490.01
O60524	O60524	NEMF_HUMAN	NEMF	Ribosome quality control complex subunit NEMF				1597.85		1016.19
O60547	O60547	GMDS_HUMAN	GMDS	GDP-mannose 4,6 dehydratase	1561.07	1136.27	1286.1	862.907	680.25	658.88
O60568	O60568	PLOD3_HUMAN	PLOD3	Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3	2953.89	2796.28	3201.2	2474.03	2633.46	2433.59
O60610	O60610	DIAP1_HUMAN	DIAPH1	Protein diaphanous homolog 1	1276.73	1420.48	2288.63	1639.29	1522.48	1756.3
O60613	O60613	SEP15_HUMAN	SELENOF	Selenoprotein F					376.331	
O60645	O60645	EXOC3_HUMAN	EXOC3	Exocyst complex component 3	964.623		754.591	466.509		
O60664	O60664	PLIN3_HUMAN	PLIN3	Perilipin-3	3320.87	3222.61	3214.6	3115.73	3567.16	2655.75
O60684	O60684	IMA7_HUMAN	KPNA6	Importin subunit alpha-7	3137.07	3780.64	3126.41	3282.18	3668.46	3096.83
O60701	O60701	UGDH_HUMAN	UGDH	UDP-glucose 6-dehydrogenase	4046.11	4514.03	4271.1	3879.01	4576.4	3780.31
O60716	O60716	CTND1_HUMAN	CTNND1	Catenin delta-1	2380.98	2203.09	2950.44	2140.68	2066.02	3046.75
O60739;P41567	O60739;P41567	EIF1B_HUMAN;EIF1_HUMAN	EIF1;EIF1B	Eukaryotic translation initiation factor 1b	1394.01	1149.19	1517.38	1113.79	1030.15	1175.63
O60749	O60749	SNX2_HUMAN	SNX2	Sorting nexin-2	1118.88	1457.47	1392.63	713.314	1642.02	1359.5
O60762	O60762	DPM1_HUMAN	DPM1	Dolichol-phosphate mannosyltransferase subunit 1	2346.07	2066.13	1680.11	2136.62	2658.79	2526.79
O60763	O60763	USO1_HUMAN	USO1	General vesicular transport factor p115	1447.23	1673.99	1385.91	1634.5	1230.01	1698.87
O60784	O60784	TOM1_HUMAN	TOM1	Target of Myb protein 1		918.945	1147.31			
O60814;P57053;P58876;P62807;Q5QNW6;Q93079;Q99877;Q99879;Q99880	P23527;Q99880;Q99879;Q16778;Q96A08;Q8N257;Q93079;P58876;O60814;Q99877;P62807;P06899;Q5QNW6;P57053;P33778	H2B1C_HUMAN;H2B1D_HUMAN;H2B1H_HUMAN;H2B1K_HUMAN;H2B1L_HUMAN;H2B1M_HUMAN;H2B1N_HUMAN;H2B2F_HUMAN;H2BFS_HUMAN	H2BC12;H2BC12L;H2BC13;H2BC14;H2BC15;H2BC18;H2BC4;H2BC5;H2BC9	Histone H2B type 1-K	351417	353428	353118	352754	350871	369164
O60828	O60828	PQBP1_HUMAN	PQBP1	Polyglutamine-binding protein 1	2787.19	1866.95	1268.85	2827.89	2788.77	2245.6
O60831	O60831	PRAF2_HUMAN	PRAF2	PRA1 family protein 2	2906.04	2047.18	2328.2	2307.24	2514.25	2909.91
O60832	O60832	DKC1_HUMAN	DKC1	H/ACA ribonucleoprotein complex subunit DKC1	1467.11	1095.78	1816.02	1659.56	1727.17	1571.09
O60841	O60841	IF2P_HUMAN	EIF5B	Eukaryotic translation initiation factor 5B	2969.9	1931.58	2513.5	2209.26	2806.41	2084.38
O60869	O60869	EDF1_HUMAN	EDF1	Endothelial differentiation-related factor 1	4002.06	4409.58	4574.76	4001.27	4060.04	4697.74
O60884	O60884	DNJA2_HUMAN	DNAJA2	DnaJ homolog subfamily A member 2	3060.4	3748.4	3801.59	4307.54	3768.58	3954.85
O60885	O60885	BRD4_HUMAN	BRD4	Bromodomain-containing protein 4			282.861	388.405		
O60888	O60888	CUTA_HUMAN	CUTA	Protein CutA	4230.49	4103.35	5635.88	5113.74	5040.39	5299.67
O60925	O60925	PFD1_HUMAN	PFDN1	Prefoldin subunit 1	3018.39	3686.4	1976.01	2957.99	4011.17	3983.08
O60936	O60936	NOL3_HUMAN	NOL3	Nucleolar protein 3	325.407	1279.43	1041.53	684.782	935.758	
O75083	O75083	WDR1_HUMAN	WDR1	WD repeat-containing protein 1	13781.5	14158.4	14984.8	16974.8	15446.2	15654
O75116	O75116	ROCK2_HUMAN	ROCK2	Rho-associated protein kinase 2	1646.29	1468.87	1250.46	1017.36	1191.83	1627.51
O75122	O75122	CLAP2_HUMAN	CLASP2	CLIP-associating protein 2		346.488			521.682	
O75131	O75131	CPNE3_HUMAN	CPNE3	Copine-3	3298.42	2579.57	3253.27	2908.94	2820.25	3238.2
O75150	O75150	BRE1B_HUMAN	RNF40	E3 ubiquitin-protein ligase BRE1B						633.061
O75153	O75153	CLU_HUMAN	CLUH	Clustered mitochondria protein homolog	1530.19	1314.51	1420.9	3221.53	1468.27	962.398
O75190	O75190	DNJB6_HUMAN	DNAJB6	DnaJ homolog subfamily B member 6	339.836		1156.47			
O75223	O75223	GGCT_HUMAN	GGCT	Gamma-glutamylcyclotransferase	1851.99	1914.74	2054.93	1635	1828.93	1727.99
O75251	O75251	NDUS7_HUMAN	NDUFS7	NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial	776.406	1397.81	989.864	1173.04	1199.03	777.554
O75306	O75306	NDUS2_HUMAN	NDUFS2	NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial	1424.99	1494.08	1319.08	1233.34	1374.68	1372.43
O75312	O75312	ZPR1_HUMAN	ZPR1	Zinc finger protein ZPR1	580.958				168.333	
O75323	O75323	NIPS2_HUMAN	NIPSNAP2	Protein NipSnap homolog 2	869.136	1785.42	2139.01	1738.54	1381.1	1437.39
O75340	O75340	PDCD6_HUMAN	PDCD6	Programmed cell death protein 6	5854.4	5887.99	6427.79	5539.22	6147.48	6358.3
O75347	O75347	TBCA_HUMAN	TBCA	Tubulin-specific chaperone A	8128.94	9495.56	10099.5	9821.39	9586.18	9818.75
O75348	O75348	VATG1_HUMAN	ATP6V1G1	V-type proton ATPase subunit G 1	2325.75	1513.35	2136.62	1821.8	1595.21	1843.61
O75351	O75351	VPS4B_HUMAN	VPS4B	Vacuolar protein sorting-associated protein 4B	2419.19	2166.13	2867.8	1854.36	1918.9	2229.92
O75352	O75352	MPU1_HUMAN	MPDU1	Mannose-P-dolichol utilization defect 1 protein	803.912	834.287	682.66	877.671	1432.48	1106.54
O75367	O75367	H2AY_HUMAN	MACROH2A1	Core histone macro-H2A.1	16943.2	15544	15588.3	15583.9	16188.3	16091.2
O75368	O75368	SH3L1_HUMAN	SH3BGRL	SH3 domain-binding glutamic acid-rich-like protein	3129.5	3513.64	3311.72	3626.64	2916.6	2983.9
O75369	O75369	FLNB_HUMAN	FLNB	Filamin-B	13827.7	13421.3	13450.1	14276.4	13643.6	13054.1
O75380	O75380	NDUS6_HUMAN	NDUFS6	NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial	732.013	398.63	489.436	833.564	377.708	974.198
O75381	O75381	PEX14_HUMAN	PEX14	Peroxisomal membrane protein PEX14				1180.6	1186.82	
O75390	O75390	CISY_HUMAN	CS	Citrate synthase, mitochondrial	9005.78	8857.04	9105.61	8448.64	8826.19	8796.13
O75391	O75391	SPAG7_HUMAN	SPAG7	Sperm-associated antigen 7		1391.08			693.059	789.49
O75394	O75394	RM33_HUMAN	MRPL33	39S ribosomal protein L33, mitochondrial	284.617				389.781	
O75396	O75396	SC22B_HUMAN	SEC22B	Vesicle-trafficking protein SEC22b	7556.01	7416.64	7826.99	7734.23	6794.18	7221.85
O75400	O75400	PR40A_HUMAN	PRPF40A	Pre-mRNA-processing factor 40 homolog A	1468.74	1373.98	1379.11	1238.85	668.343	897.599
O75419	O75419	CDC45_HUMAN	CDC45	Cell division control protein 45 homolog	1240.42					1198.31
O75431	O75431	MTX2_HUMAN	MTX2	Metaxin-2	1039.69	790.462	738.799	948.818	1057.04	897.267
O75436	O75436	VP26A_HUMAN	VPS26A	Vacuolar protein sorting-associated protein 26A	1931.8	1547.52	2274.25	2176.96	2189.59	2196.57
O75438	O75438	NDUB1_HUMAN	NDUFB1	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1	1167.95	489.152	933.079	680.058	590.389	766.337
O75439	O75439	MPPB_HUMAN	PMPCB	Mitochondrial-processing peptidase subunit beta	3636.3	2959.32	3406.49	3991.44	3536.44	2305.31
O75462	O75462	CRLF1_HUMAN	CRLF1	Cytokine receptor-like factor 1	827.545		317.674		709.285	
O75475	O75475	PSIP1_HUMAN	PSIP1	PC4 and SFRS1-interacting protein	2835.05	2650.04	2093.13	2471.88	2542.8	1836.52
O75477	O75477	ERLN1_HUMAN	ERLIN1	Erlin-1	1298.19	2067.19	987.969	1283.2	1182.17	1202.99
O75489	O75489	NDUS3_HUMAN	NDUFS3	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial	1420.66	1697.63	2131.33	1301.23	1351.16	1536.6
O75494	O75494	SRS10_HUMAN	SRSF10	Serine/arginine-rich splicing factor 10	732.554	1032.76	815.561	1067.98	1323.22	1342.98
O75521	O75521	ECI2_HUMAN	ECI2	Enoyl-CoA delta isomerase 2		687.274	813.036	1029.64	816.969	1165.9
O75531	O75531	BAF_HUMAN	BANF1	Barrier-to-autointegration factor	14701.7	20599.9	15618.2	15682.8	16076.2	16023.2
O75533	O75533	SF3B1_HUMAN	SF3B1	Splicing factor 3B subunit 1	3726.83	4465.2	3877.14	3672.27	4091.22	4008.75
O75534	O75534	CSDE1_HUMAN	CSDE1	Cold shock domain-containing protein E1	2852.77	3586.66	2386.77	2378.92	2401.18	3289.58
O75569	O75569	PRKRA_HUMAN	PRKRA	Interferon-inducible double-stranded RNA-dependent protein kinase activator A	858.079	1103.05	1317.43	783.867		935.299
O75607	O75607	NPM3_HUMAN	NPM3	Nucleoplasmin-3	1433.92	1009.63	754.002	1363.83	1486.17	1199.91
O75608	O75608	LYPA1_HUMAN	LYPLA1	Acyl-protein thioesterase 1	1995.33	3208.07	2250.96	2067.87	2578.56	1692.71
O75616	O75616	ERAL1_HUMAN	ERAL1	GTPase Era, mitochondrial	867.727	1239.69	589.168	1325.02	1342.04	904.696
O75643	O75643	U520_HUMAN	SNRNP200	U5 small nuclear ribonucleoprotein 200 kDa helicase	2842.04	2878.11	2976.1	2714.21	2837.26	2929.02
O75663	O75663	TIPRL_HUMAN	TIPRL	TIP41-like protein						386.473
O75691	O75691	UTP20_HUMAN	UTP20	Small subunit processome component 20 homolog		835.434	645.955	675.864	671.956	1314.92
O75694	O75694	NU155_HUMAN	NUP155	Nuclear pore complex protein Nup155	2015.2	1751.06	1916.89	1924.99	1813.96	1531.75
O75695	O75695	XRP2_HUMAN	RP2	Protein XRP2					424.754	
O75717	O75717	WDHD1_HUMAN	WDHD1	WD repeat and HMG-box DNA-binding protein 1	1127.2	1229.3		1209.49	1146.66	867.919
O75718	O75718	CRTAP_HUMAN	CRTAP	Cartilage-associated protein	3152.25	2866.76	3025.96	3113.07	3084.71	2452.27
O75746	O75746	CMC1_HUMAN	SLC25A12	Calcium-binding mitochondrial carrier protein Aralar1	845.889		575.385	1165.34	911.635	752.83
O75787	O75787	RENR_HUMAN	ATP6AP2	Renin receptor				823.514	995.354	541.59
O75794	O75794	CD123_HUMAN	CDC123	Cell division cycle protein 123 homolog	1204.49	1492.5	1401.75		984.008	1941.28
O75817	O75817	POP7_HUMAN	POP7	Ribonuclease P protein subunit p20	554.699	921.566				
O75821	O75821	EIF3G_HUMAN	EIF3G	Eukaryotic translation initiation factor 3 subunit G	2328.09	2669.77	2737.58	2601.21	2045.2	2001.35
O75822	O75822	EIF3J_HUMAN	EIF3J	Eukaryotic translation initiation factor 3 subunit J	3161.49	2247.33	2860.67	3144.85	3087.46	2698.87
O75828	O75828	CBR3_HUMAN	CBR3	Carbonyl reductase [NADPH] 3	5391.27	7555.1	6466.28	6338.09	6891.21	7290.54
O75832	O75832	PSD10_HUMAN	PSMD10	26S proteasome non-ATPase regulatory subunit 10	648.043	805.189	626.121	896.609	862.271	885.505
O75844	O75844	FACE1_HUMAN	ZMPSTE24	CAAX prenyl protease 1 homolog	1626.86	1288.84	654.378	798.008	1210.13	1337.35
O75874	O75874	IDHC_HUMAN	IDH1	Isocitrate dehydrogenase [NADP] cytoplasmic	6413.55	6363.39	6738.37	5885.12	6124.93	5765.08
O75880	O75880	SCO1_HUMAN	SCO1	Protein SCO1 homolog, mitochondrial	1007	1148.73	1448.92	1386.92	1935.36	1409.01
O75915	O75915	PRAF3_HUMAN	ARL6IP5	PRA1 family protein 3	2452.68	3191.87	1632.09	2823.84	2456.88	2827.4
O75934	O75934	SPF27_HUMAN	BCAS2	Pre-mRNA-splicing factor SPF27	526.617	687.221		355.227	593.217	580.727
O75935	O75935	DCTN3_HUMAN	DCTN3	Dynactin subunit 3	1775.44	1445.37	1394.83	945.622		1639.94
O75937	O75937	DNJC8_HUMAN	DNAJC8	DnaJ homolog subfamily C member 8	3141.01	3266.5	2795.61	2857.69	2872.17	2799.62
O75940	O75940	SPF30_HUMAN	SMNDC1	Survival of motor neuron-related-splicing factor 30	739.48	1121.29	1193.92	1031.74	726.064	857.511
O75947	O75947	ATP5H_HUMAN	ATP5PD	ATP synthase subunit d, mitochondrial	5167.07	4946.65	5255.05	5301.28	5292.91	5901.96
O75955	O75955	FLOT1_HUMAN	FLOT1	Flotillin-1	1479.54	1387.63	1143.65	1334.29	1005.24	1263.25
O75962	O75962	TRIO_HUMAN	TRIO	Triple functional domain protein		1037.75	784.667	700.373		703.137
O75964	O75964	ATP5L_HUMAN	ATP5MG	ATP synthase subunit g, mitochondrial	5050.25	5687.24	6567.9	7695.2	7790.38	7713.62
O75976	O75976	CBPD_HUMAN	CPD	Carboxypeptidase D	514.471			643.412		456.728
O76003	O76003	GLRX3_HUMAN	GLRX3	Glutaredoxin-3	2816.4	3347.63	3808.62	3882.69	3365.97	4048.63
O76021	O76021	RL1D1_HUMAN	RSL1D1	Ribosomal L1 domain-containing protein 1	5999.26	6312.04	6283.46	5799.97	6926.4	6615.21
O76031	O76031	CLPX_HUMAN	CLPX	ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial	1110.76	1004.86	1121.43	800.132	961.764	1026.53
O76070	O76070	SYUG_HUMAN	SNCG	Gamma-synuclein	898.013	1352.58	1097.15	1943.16	1697.97	1209.32
O76094	O76094	SRP72_HUMAN	SRP72	Signal recognition particle subunit SRP72	1134.62	1001.28	1446.08	1118.73	900.414	878.975
O94760	O94760	DDAH1_HUMAN	DDAH1	N(G),N(G)-dimethylarginine dimethylaminohydrolase 1	1592.08	1138.11	1106.52	1966.3	1615.34	1463.59
O94776	O94776	MTA2_HUMAN	MTA2	Metastasis-associated protein MTA2	1894.73	2060.24	1674.22	1447.1	2091.89	1940.59
O94811	O94811	TPPP_HUMAN	TPPP	Tubulin polymerization-promoting protein	405.197	361.673	409.818	846.028		
O94826	O94826	TOM70_HUMAN	TOMM70	Mitochondrial import receptor subunit TOM70	1934.05	2060.31	2665.2	2520.31	1925.01	1777.39
O94855	O94855	SC24D_HUMAN	SEC24D	Protein transport protein Sec24D	1079.07	1363.32	1251.39	1387.17	1418.05	1368.42
O94874	O94874	UFL1_HUMAN	UFL1	E3 UFM1-protein ligase 1	946.693	1137.48	2376.47	696.31	789.621	1008.24
O94875	O94875	SRBS2_HUMAN	SORBS2	Sorbin and SH3 domain-containing protein 2	1436.13	960.284	1469.59	1376.57	1261.05	843.634
O94888	O94888	UBXN7_HUMAN	UBXN7	UBX domain-containing protein 7	339.984	955.612		516.101	677.304	963.383
O94901	O94901	SUN1_HUMAN	SUN1	SUN domain-containing protein 1	724.821		655.748		1198.94	300.771
O94903	O94903	PLPHP_HUMAN	PLPBP	Pyridoxal phosphate homeostasis protein	1058.73	1310.44	1836.22	1887.72	1224.76	1181.85
O94905	O94905	ERLN2_HUMAN	ERLIN2	Erlin-2	1801.24	2406.39	2016.18	1591.57	1842.25	2312.51
O94906	O94906	PRP6_HUMAN	PRPF6	Pre-mRNA-processing factor 6	3408.97	3088.99	3165.73	2668.67	3075.86	3222.51
O94925	O94925	GLSK_HUMAN	GLS	Glutaminase kidney isoform, mitochondrial	5106.89	5078.65	4342.58	4893.94	5553.03	5527.05
O94973	O94973	AP2A2_HUMAN	AP2A2	AP-2 complex subunit alpha-2	230.479		907.198			
O94979	O94979	SC31A_HUMAN	SEC31A	Protein transport protein Sec31A	3316.65	3103.68	3781.2	3554.76	3608.25	4330.42
O94992	O94992	HEXI1_HUMAN	HEXIM1	Protein HEXIM1	546.716	804.506		386.518	1405.43	
O95070	O95070	YIF1A_HUMAN	YIF1A	Protein YIF1A						523.003
O95104;Q9UPN6	Q9UPN6;O95104	SCAF4_HUMAN;SCAF8_HUMAN	SCAF4;SCAF8	SR-related and CTD-associated factor 4				640.649	855.038	791.175
O95155	O95155	UBE4B_HUMAN	UBE4B	Ubiquitin conjugation factor E4 B		1377.3		1080.99		847.31
O95159	O95159	ZFPL1_HUMAN	ZFPL1	Zinc finger protein-like 1				1223.66		
O95163	O95163	ELP1_HUMAN	ELP1	Elongator complex protein 1	1026.1	842.349	1185.24	923.294	982.786	975.921
O95168	O95168	NDUB4_HUMAN	NDUFB4	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4	1957.03	1579.15	1202.12	613.421	1246.81	2461.68
O95197	O95197	RTN3_HUMAN	RTN3	Reticulon-3	4905.74	4933.89	4905.1	5389.76	5064.81	5835.23
O95202	O95202	LETM1_HUMAN	LETM1	Mitochondrial proton/calcium exchanger protein	1897.53	1446.17	2339.8	1465.53	1623.91	1731.98
O95218	O95218	ZRAB2_HUMAN	ZRANB2	Zinc finger Ran-binding domain-containing protein 2	1573.27	1975.38	1749.4	1465.59	2415.54	1473.33
O95219	O95219	SNX4_HUMAN	SNX4	Sorting nexin-4		862.77		391.118		
O95232	O95232	LC7L3_HUMAN	LUC7L3	Luc7-like protein 3	1389.06	1470.31	1268.55	1901.25	1593.37	1558
O95239	O95239	KIF4A_HUMAN	KIF4A	Chromosome-associated kinesin KIF4A	939.106					452.53
O95292	O95292	VAPB_HUMAN	VAPB	Vesicle-associated membrane protein-associated protein B/C	2317.29	2433.92	1970.88	2134.07	2358.72	2574.56
O95295	O95295	SNAPN_HUMAN	SNAPIN	SNARE-associated protein Snapin	823.666	362.277	481.318	390.987	719.635	628.295
O95297	O95297	MPZL1_HUMAN	MPZL1	Myelin protein zero-like protein 1		2034.75	1069.06	1507.23		
O95299	O95299	NDUAA_HUMAN	NDUFA10	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial	757.545	931.483	1193.56	627.752	1077.03	1132.68
O95302	O95302;Q75LS8	FKBP9_HUMAN	FKBP9	Peptidyl-prolyl cis-trans isomerase FKBP9	2382.45	1706.41	2522	2651.91	2279.4	2271.34
O95336	O95336	6PGL_HUMAN	PGLS	6-phosphogluconolactonase	3124.07	2687.71	3049.58	3904.32	2827.77	3479.74
O95340	O95340	PAPS2_HUMAN	PAPSS2	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2	2899.79	1268.89	2034.74	1846.81	1553.05	1984.89
O95347	O95347	SMC2_HUMAN	SMC2	Structural maintenance of chromosomes protein 2	1708.17	1537.64	1502.04	1675.54	1354.66	1534.43
O95352	O95352	ATG7_HUMAN	ATG7	Ubiquitin-like modifier-activating enzyme ATG7	1091.21	579.356		1699.96	1229.63	1127.46
O95361	O95361	TRI16_HUMAN	TRIM16	Tripartite motif-containing protein 16	829.843	996.484	391.945	610.81	1006.42	1023.01
O95363	O95363	SYFM_HUMAN	FARS2	Phenylalanine--tRNA ligase, mitochondrial			517.789			480.016
O95372	O95372	LYPA2_HUMAN	LYPLA2	Acyl-protein thioesterase 2		1634.55	1206.73	1962.39	1569.48	1274.54
O95373	O95373	IPO7_HUMAN	IPO7	Importin-7	6928.87	6801.25	7187.17	7480.71	6902.17	7330.85
O95376	O95376	ARI2_HUMAN	ARIH2	E3 ubiquitin-protein ligase ARIH2	618.929					
O95379	O95379	TFIP8_HUMAN	TNFAIP8	Tumor necrosis factor alpha-induced protein 8	388.01	341.345	669.885			143.574
O95394	O95394	AGM1_HUMAN	PGM3	Phosphoacetylglucosamine mutase	795.422	1553.21	1723.02	1581.19	1326.4	1693.63
