Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Hela_DDA_25cm_10ng_3_31_2023_Slot2_13_1359 Spectral Count	Hela_DDA_25cm_10ng_4_6_2023_Slot2_94_1457 Spectral Count	Hela_DDA_25cm_10ng_4_7_2023_Slot1_39_1491 Spectral Count	Hela_DDA_25cm_2500pg_3_31_2023_Slot2_15_1357 Spectral Count	Hela_DDA_25cm_250pg_3_30_2023_Slot2_07_1337 Spectral Count	Hela_DDA_25cm_250pg_3_31_2023_Slot2_19_1353 Spectral Count	Hela_DDA_25cm_500pg_3_31_2023_Slot2_18_1354 Spectral Count	Hela_DDA_25cm_750pg_3_31_2023_Slot2_17_1355 Spectral Count	Hela_DDA_25cm_10ng_3_31_2023_Slot2_13_1359 Unique Spectral Count	Hela_DDA_25cm_10ng_4_6_2023_Slot2_94_1457 Unique Spectral Count	Hela_DDA_25cm_10ng_4_7_2023_Slot1_39_1491 Unique Spectral Count	Hela_DDA_25cm_2500pg_3_31_2023_Slot2_15_1357 Unique Spectral Count	Hela_DDA_25cm_250pg_3_30_2023_Slot2_07_1337 Unique Spectral Count	Hela_DDA_25cm_250pg_3_31_2023_Slot2_19_1353 Unique Spectral Count	Hela_DDA_25cm_500pg_3_31_2023_Slot2_18_1354 Unique Spectral Count	Hela_DDA_25cm_750pg_3_31_2023_Slot2_17_1355 Unique Spectral Count	Hela_DDA_25cm_10ng_3_31_2023_Slot2_13_1359 Total Spectral Count	Hela_DDA_25cm_10ng_4_6_2023_Slot2_94_1457 Total Spectral Count	Hela_DDA_25cm_10ng_4_7_2023_Slot1_39_1491 Total Spectral Count	Hela_DDA_25cm_2500pg_3_31_2023_Slot2_15_1357 Total Spectral Count	Hela_DDA_25cm_250pg_3_30_2023_Slot2_07_1337 Total Spectral Count	Hela_DDA_25cm_250pg_3_31_2023_Slot2_19_1353 Total Spectral Count	Hela_DDA_25cm_500pg_3_31_2023_Slot2_18_1354 Total Spectral Count	Hela_DDA_25cm_750pg_3_31_2023_Slot2_17_1355 Total Spectral Count	Hela_DDA_25cm_10ng_3_31_2023_Slot2_13_1359 Intensity	Hela_DDA_25cm_10ng_4_6_2023_Slot2_94_1457 Intensity	Hela_DDA_25cm_10ng_4_7_2023_Slot1_39_1491 Intensity	Hela_DDA_25cm_2500pg_3_31_2023_Slot2_15_1357 Intensity	Hela_DDA_25cm_250pg_3_30_2023_Slot2_07_1337 Intensity	Hela_DDA_25cm_250pg_3_31_2023_Slot2_19_1353 Intensity	Hela_DDA_25cm_500pg_3_31_2023_Slot2_18_1354 Intensity	Hela_DDA_25cm_750pg_3_31_2023_Slot2_17_1355 Intensity	Hela_DDA_25cm_10ng_3_31_2023_Slot2_13_1359 MaxLFQ Intensity	Hela_DDA_25cm_10ng_4_6_2023_Slot2_94_1457 MaxLFQ Intensity	Hela_DDA_25cm_10ng_4_7_2023_Slot1_39_1491 MaxLFQ Intensity	Hela_DDA_25cm_2500pg_3_31_2023_Slot2_15_1357 MaxLFQ Intensity	Hela_DDA_25cm_250pg_3_30_2023_Slot2_07_1337 MaxLFQ Intensity	Hela_DDA_25cm_250pg_3_31_2023_Slot2_19_1353 MaxLFQ Intensity	Hela_DDA_25cm_500pg_3_31_2023_Slot2_18_1354 MaxLFQ Intensity	Hela_DDA_25cm_750pg_3_31_2023_Slot2_17_1355 MaxLFQ Intensity	Indistinguishable Proteins
sp|O00154|BACH_HUMAN	O00154	BACH_HUMAN	ACOT7	380	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cytosolic acyl coenzyme A thioester hydrolase	1	0.999	8	16	15	16	2	7	7	0	0	0	0	0	1	7	7	0	0	0	0	0	2	7	7	0	0	0	0	0	23249.27	112279.484	119738.49	0	0	0	0	0	0	42456.645	47270.24	0	0	0	0	0	
sp|O00159|MYO1C_HUMAN	O00159	MYO1C_HUMAN	MYO1C	1063	Homo sapiens OX=9606	1:Experimental evidence at protein level	Unconventional myosin-Ic	1	0.999	29	103	97	103	20	29	31	21	0	1	1	0	19	28	31	18	0	0	1	0	20	29	31	21	0	1	1	0	301833.47	417205.3	478151.94	361976.9	0	0	66293.18	0	49868.754	62156.07	63406.93	60150.89	0	0	0	0	
sp|O00161|SNP23_HUMAN	O00161	SNP23_HUMAN	SNAP23	211	Homo sapiens OX=9606	1:Experimental evidence at protein level	Synaptosomal-associated protein 23	1	0.999	3	7	7	7	2	3	2	0	0	0	0	0	2	3	2	0	0	0	0	0	2	3	2	0	0	0	0	0	7752.2295	23266.875	19260.574	0	0	0	0	0	4412.0645	12019.307	11386.5	0	0	0	0	0	
sp|O00165|HAX1_HUMAN	O00165	HAX1_HUMAN	HAX1	279	Homo sapiens OX=9606	1:Experimental evidence at protein level	HCLS1-associated protein X-1	0.9731	0.9986	1	2	2	2	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3930.8572	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|O00170|AIP_HUMAN	O00170	AIP_HUMAN	AIP	330	Homo sapiens OX=9606	1:Experimental evidence at protein level	AH receptor-interacting protein	1	0.999	11	33	33	33	5	16	10	2	0	0	0	0	5	16	10	2	0	0	0	0	5	16	10	2	0	0	0	0	64107.7	160559.55	147932.14	26927.719	0	0	0	0	20939.04	32176.209	35668.227	16242.126	0	0	0	0	
sp|O00178|GTPB1_HUMAN	O00178	GTPB1_HUMAN	GTPBP1	669	Homo sapiens OX=9606	1:Experimental evidence at protein level	GTP-binding protein 1	1	0.999	3	4	4	4	0	2	1	1	0	0	0	0	0	2	1	1	0	0	0	0	0	2	1	1	0	0	0	0	0	12748.787	7555.868	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|O00180|KCNK1_HUMAN	O00180	KCNK1_HUMAN	KCNK1	336	Homo sapiens OX=9606	1:Experimental evidence at protein level	Potassium channel subfamily K member 1	0.9999	0.999	2	3	3	3	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	14739.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|O00186|STXB3_HUMAN	O00186	STXB3_HUMAN	STXBP3	592	Homo sapiens OX=9606	1:Experimental evidence at protein level	Syntaxin-binding protein 3	1	0.999	6	16	16	16	3	5	8	0	0	0	0	0	3	5	8	0	0	0	0	0	3	5	8	0	0	0	0	0	26041.799	28197.031	39045.93	0	0	0	0	0	8451.771	12425.068	13965.095	0	0	0	0	0	
sp|O00193|SMAP_HUMAN	O00193	SMAP_HUMAN	SMAP	183	Homo sapiens OX=9606	1:Experimental evidence at protein level	Small acidic protein	1	0.999	3	24	24	24	4	12	8	0	0	0	0	0	4	12	8	0	0	0	0	0	4	12	8	0	0	0	0	0	25320.65	103053.67	71603.88	0	0	0	0	0	0	48472.684	34037.156	0	0	0	0	0	
sp|O00203|AP3B1_HUMAN	O00203	AP3B1_HUMAN	AP3B1	1094	Homo sapiens OX=9606	1:Experimental evidence at protein level	AP-3 complex subunit beta-1	1	0.999	19	42	38	42	9	13	16	4	0	0	0	0	7	11	16	4	0	0	0	0	9	13	16	4	0	0	0	0	114322.35	245315.05	265746.03	56082.324	0	0	0	0	42586.73	46389.5	46181.35	45910.336	0	0	0	0	
sp|O00214|LEG8_HUMAN	O00214	LEG8_HUMAN	LGALS8	317	Homo sapiens OX=9606	1:Experimental evidence at protein level	Galectin-8	0.9678	0.9984	1	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6067.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|O00217|NDUS8_HUMAN	O00217	NDUS8_HUMAN	NDUFS8	210	Homo sapiens OX=9606	1:Experimental evidence at protein level	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial"	1	0.999	3	9	9	9	5	2	1	1	0	0	0	0	5	2	1	1	0	0	0	0	5	2	1	1	0	0	0	0	39915.234	15617.272	13917.611	13873.501	0	0	0	0	0	0	0	0	0	0	0	0	
sp|O00220|TR10A_HUMAN	O00220	TR10A_HUMAN	TNFRSF10A	468	Homo sapiens OX=9606	1:Experimental evidence at protein level	Tumor necrosis factor receptor superfamily member 10A	0.98	0.999	1	3	3	3	1	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	8217.741	6563.5483	0	9301.393	0	0	0	0	0	0	0	0	0	0	0	0	
sp|O00231|PSD11_HUMAN	O00231	PSD11_HUMAN	PSMD11	422	Homo sapiens OX=9606	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 11	1	0.999	18	71	71	71	12	27	23	8	0	0	1	0	12	27	23	8	0	0	1	0	12	27	23	8	0	0	1	0	157754.14	488204	432077.5	178183.11	0	0	37011.45	0	40693.566	45551.184	48364.875	49636.168	0	0	0	0	
sp|O00232|PSD12_HUMAN	O00232	PSD12_HUMAN	PSMD12	456	Homo sapiens OX=9606	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 12	1	0.999	15	52	52	52	6	21	19	6	0	0	0	0	6	21	19	6	0	0	0	0	6	21	19	6	0	0	0	0	72293.86	282212.78	259072.5	94048.55	0	0	0	0	24135.309	30303.314	30992.215	28579.924	0	0	0	0	
sp|O00233|PSMD9_HUMAN	O00233	PSMD9_HUMAN	PSMD9	223	Homo sapiens OX=9606	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 9	1	0.999	8	25	25	25	4	7	10	4	0	0	0	0	4	7	10	4	0	0	0	0	4	7	10	4	0	0	0	0	77344.42	102282.74	131770.33	63057.82	0	0	0	0	31172.041	29757.008	30994.25	26160.168	0	0	0	0	
sp|O00244|ATOX1_HUMAN	O00244	ATOX1_HUMAN	ATOX1	68	Homo sapiens OX=9606	1:Experimental evidence at protein level	Copper transport protein ATOX1	1	0.999	2	9	9	9	2	4	1	2	0	0	0	0	2	4	1	2	0	0	0	0	2	4	1	2	0	0	0	0	33072.516	77769.5	31848.303	47636.75	0	0	0	0	20420.742	32173.584	0	27450.277	0	0	0	0	
sp|O00255|MEN1_HUMAN	O00255	MEN1_HUMAN	MEN1	615	Homo sapiens OX=9606	1:Experimental evidence at protein level	Menin	0.9953	0.999	2	3	3	3	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	35318.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|O00264|PGRC1_HUMAN	O00264	PGRC1_HUMAN	PGRMC1	195	Homo sapiens OX=9606	1:Experimental evidence at protein level	Membrane-associated progesterone receptor component 1	1	0.999	10	51	45	51	13	14	14	9	0	0	1	0	12	13	12	7	0	0	1	0	13	14	14	9	0	0	1	0	216469.03	327548.8	314143.28	208070.52	0	0	38326.21	0	54380.387	61269.17	62148.97	57089.117	0	0	0	0	
sp|O00267|SPT5H_HUMAN	O00267	SPT5H_HUMAN	SUPT5H	1087	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transcription elongation factor SPT5	1	0.999	9	24	24	24	6	5	12	1	0	0	0	0	6	5	12	1	0	0	0	0	6	5	12	1	0	0	0	0	28862.861	45974.266	57721.402	8510.498	0	0	0	0	7378.9434	19862.049	15053.794	0	0	0	0	0	
sp|O00268|TAF4_HUMAN	O00268	TAF4_HUMAN	TAF4	1085	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transcription initiation factor TFIID subunit 4	0.9385	0.9968	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	9897.917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|O00273|DFFA_HUMAN	O00273	DFFA_HUMAN	DFFA	331	Homo sapiens OX=9606	1:Experimental evidence at protein level	DNA fragmentation factor subunit alpha	1	0.999	7	25	25	25	4	8	8	5	0	0	0	0	4	8	8	5	0	0	0	0	4	8	8	5	0	0	0	0	112482.1	133193.69	110792.75	126144.94	0	79040.99	0	0	46924.84	51097.633	55421.99	55067.016	0	0	0	0	
sp|O00287|RFXAP_HUMAN	O00287	RFXAP_HUMAN	RFXAP	272	Homo sapiens OX=9606	1:Experimental evidence at protein level	Regulatory factor X-associated protein	1	0.999	2	2	2	2	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|O00291|HIP1_HUMAN	O00291	HIP1_HUMAN	HIP1	1037	Homo sapiens OX=9606	1:Experimental evidence at protein level	Huntingtin-interacting protein 1	1	0.999	4	6	6	6	1	3	2	0	0	0	0	0	1	3	2	0	0	0	0	0	1	3	2	0	0	0	0	0	0	15209.891	3914.7947	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|O00299|CLIC1_HUMAN	O00299	CLIC1_HUMAN	CLIC1	241	Homo sapiens OX=9606	1:Experimental evidence at protein level	Chloride intracellular channel protein 1	1	0.999	9	78	78	78	14	22	23	13	0	2	4	0	14	22	23	13	0	2	4	0	14	22	23	13	0	2	4	0	336404.44	573828.94	615367.06	426561.8	0	282016.4	323346.6	0	78548.28	178123.8	192915.12	157662.5	0	132272.22	139778.64	0	
sp|O00303|EIF3F_HUMAN	O00303	EIF3F_HUMAN	EIF3F	357	Homo sapiens OX=9606	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 3 subunit F	1	0.999	10	59	59	59	11	18	22	8	0	0	0	0	11	18	22	8	0	0	0	0	11	18	22	8	0	0	0	0	163978.14	251788.92	366243.62	142421.97	0	0	0	0	49594.67	43295.86	45923.234	42994.38	0	0	0	0	
sp|O00330|ODPX_HUMAN	O00330	ODPX_HUMAN	PDHX	501	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Pyruvate dehydrogenase protein X component, mitochondrial"	1	0.999	6	13	13	13	4	5	3	1	0	0	0	0	4	5	3	1	0	0	0	0	4	5	3	1	0	0	0	0	25264.582	51690.24	52814.43	0	0	0	0	0	13108.876	25705.59	26976.477	0	0	0	0	0	
sp|O00358|FOXE1_HUMAN	O00358	FOXE1_HUMAN	FOXE1	373	Homo sapiens OX=9606	1:Experimental evidence at protein level	Forkhead box protein E1	0.9801	0.999	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7995.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|O00399|DCTN6_HUMAN	O00399	DCTN6_HUMAN	DCTN6	190	Homo sapiens OX=9606	1:Experimental evidence at protein level	Dynactin subunit 6	1	0.999	2	6	6	6	2	2	2	0	0	0	0	0	2	2	2	0	0	0	0	0	2	2	2	0	0	0	0	0	15576.71	14703.148	21886.258	0	0	0	0	0	0	9204.749	13057.548	0	0	0	0	0	
sp|O00400|ACATN_HUMAN	O00400	ACATN_HUMAN	SLC33A1	549	Homo sapiens OX=9606	1:Experimental evidence at protein level	Acetyl-coenzyme A transporter 1	0.9999	0.999	2	4	4	4	1	1	2	0	0	0	0	0	1	1	2	0	0	0	0	0	1	1	2	0	0	0	0	0	12908.507	3375.7698	4228.8916	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|O00401|WASL_HUMAN	O00401	WASL_HUMAN	WASL	505	Homo sapiens OX=9606	1:Experimental evidence at protein level	Actin nucleation-promoting factor WASL	1	0.999	4	10	10	10	4	2	3	1	0	0	0	0	4	2	3	1	0	0	0	0	4	2	3	1	0	0	0	0	33248.53	25819.828	31277.498	9741.106	0	0	0	0	8825.193	14829.01	14010.94	0	0	0	0	0	
sp|O00410|IPO5_HUMAN	O00410	IPO5_HUMAN	IPO5	1097	Homo sapiens OX=9606	1:Experimental evidence at protein level	Importin-5	1	0.999	23	100	94	100	19	35	39	7	0	0	0	0	18	32	37	7	0	0	0	0	19	35	39	7	0	0	0	0	235042.42	439382.2	490851.25	169970.61	0	0	0	0	46064.87	49246.863	53908.42	39075.684	0	0	0	0	
sp|O00411|RPOM_HUMAN	O00411	RPOM_HUMAN	POLRMT	1230	Homo sapiens OX=9606	1:Experimental evidence at protein level	"DNA-directed RNA polymerase, mitochondrial"	1	0.999	7	9	9	9	2	5	2	0	0	0	0	0	2	5	2	0	0	0	0	0	2	5	2	0	0	0	0	0	12011.014	16174.604	10337.004	0	0	0	0	0	5644.0938	4765.708	7418.4053	0	0	0	0	0	
sp|O00418|EF2K_HUMAN	O00418	EF2K_HUMAN	EEF2K	725	Homo sapiens OX=9606	1:Experimental evidence at protein level	Eukaryotic elongation factor 2 kinase	0.9974	0.999	2	2	2	2	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	16502.059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|O00422|SAP18_HUMAN	O00422	SAP18_HUMAN	SAP18	153	Homo sapiens OX=9606	1:Experimental evidence at protein level	Histone deacetylase complex subunit SAP18	1	0.999	8	25	25	25	7	7	8	3	0	0	0	0	7	7	8	3	0	0	0	0	7	7	8	3	0	0	0	0	113203.97	103906.766	124917.2	115052.81	0	0	0	0	30215.121	28861.877	30100.45	40218.914	0	0	0	0	
sp|O00425|IF2B3_HUMAN	O00425	IF2B3_HUMAN	IGF2BP3	579	Homo sapiens OX=9606	1:Experimental evidence at protein level	Insulin-like growth factor 2 mRNA-binding protein 3	1	0.999	18	76	68	76	16	23	26	11	0	0	0	0	16	19	23	10	0	0	0	0	16	23	26	11	0	0	0	0	254532.97	375325.34	374324.28	175993.9	0	0	0	0	44805.16	44417.758	45148.336	44889.24	0	0	0	0	
sp|O00429|DNM1L_HUMAN	O00429	DNM1L_HUMAN	DNM1L	736	Homo sapiens OX=9606	1:Experimental evidence at protein level	Dynamin-1-like protein	1	0.999	21	66	66	66	14	20	25	7	0	0	0	0	14	20	25	7	0	0	0	0	14	20	25	7	0	0	0	0	131810.58	196867.05	242047.12	80072.586	0	0	0	0	25942.799	26557.078	31631.223	28062.65	0	0	0	0	
sp|O00443|P3C2A_HUMAN	O00443	P3C2A_HUMAN	PIK3C2A	1686	Homo sapiens OX=9606	1:Experimental evidence at protein level	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha	1	0.999	5	9	8	9	2	3	4	0	0	0	0	0	2	3	3	0	0	0	0	0	2	3	4	0	0	0	0	0	9029.997	17581.932	24002.023	0	0	0	0	0	0	9404.185	7443.3066	0	0	0	0	0	
sp|O00458|IFRD1_HUMAN	O00458	IFRD1_HUMAN	IFRD1	451	Homo sapiens OX=9606	1:Experimental evidence at protein level	Interferon-related developmental regulator 1	0.9801	0.999	1	4	4	4	1	1	2	0	0	0	0	0	1	1	2	0	0	0	0	0	1	1	2	0	0	0	0	0	3195.633	2922.5312	4150.3447	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|O00461|GOLI4_HUMAN	O00461	GOLI4_HUMAN	GOLIM4	696	Homo sapiens OX=9606	1:Experimental evidence at protein level	Golgi integral membrane protein 4	1	0.999	13	36	36	36	3	18	14	1	0	0	0	0	3	18	14	1	0	0	0	0	3	18	14	1	0	0	0	0	36370.5	124704.66	125313.4	20680.963	0	0	0	0	20677.592	18996.453	18621.453	0	0	0	0	0	
sp|O00462|MANBA_HUMAN	O00462	MANBA_HUMAN	MANBA	879	Homo sapiens OX=9606	1:Experimental evidence at protein level	Beta-mannosidase	0.9792	0.999	2	1	1	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	6446.5967	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|O00468|AGRIN_HUMAN	O00468	AGRIN_HUMAN	AGRN	2068	Homo sapiens OX=9606	1:Experimental evidence at protein level	Agrin	1	0.999	7	18	18	18	3	6	8	1	0	0	0	0	3	6	8	1	0	0	0	0	3	6	8	1	0	0	0	0	16314.683	32817.973	41323.53	15032.935	0	0	0	0	6129.0117	17898.39	13408.425	0	0	0	0	0	
sp|O00469|PLOD2_HUMAN	O00469	PLOD2_HUMAN	PLOD2	737	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2"	1	0.999	19	73	73	73	14	26	27	6	0	0	0	0	14	26	27	6	0	0	0	0	14	26	27	6	0	0	0	0	161282.11	357805.9	377356.03	49306.992	0	0	0	0	31364.406	55393.01	49382.246	26708.643	0	0	0	0	
sp|O00470|MEIS1_HUMAN	O00470	MEIS1_HUMAN	MEIS1	390	Homo sapiens OX=9606	1:Experimental evidence at protein level	Homeobox protein Meis1	0.9999	0.999	2	2	1	2	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	15695.682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|O00471|EXOC5_HUMAN	O00471	EXOC5_HUMAN	EXOC5	708	Homo sapiens OX=9606	1:Experimental evidence at protein level	Exocyst complex component 5	1	0.999	5	10	10	10	1	5	4	0	0	0	0	0	1	5	4	0	0	0	0	0	1	5	4	0	0	0	0	0	3268.8801	23976.328	20281.61	0	0	0	0	0	0	8393.435	7461.861	0	0	0	0	0	
sp|O00472|ELL2_HUMAN	O00472	ELL2_HUMAN	ELL2	640	Homo sapiens OX=9606	1:Experimental evidence at protein level	RNA polymerase II elongation factor ELL2	0.9145	0.9954	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2229.3535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|O00479|HMGN4_HUMAN	O00479	HMGN4_HUMAN	HMGN4	90	Homo sapiens OX=9606	1:Experimental evidence at protein level	High mobility group nucleosome-binding domain-containing protein 4	1	0.999	2	12	12	12	4	4	3	1	0	0	0	0	4	4	3	1	0	0	0	0	4	4	3	1	0	0	0	0	35336.82	44938.4	43616.65	0	0	0	0	0	18651.707	17817.506	21873.623	0	0	0	0	0	
sp|O00483|NDUA4_HUMAN	O00483	NDUA4_HUMAN	NDUFA4	81	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cytochrome c oxidase subunit NDUFA4	1	0.999	4	11	11	11	1	4	6	0	0	0	0	0	1	4	6	0	0	0	0	0	1	4	6	0	0	0	0	0	39573.074	167849.47	214978.3	0	0	0	0	0	0	71488.89	98944.49	0	0	0	0	0	
sp|O00487|PSDE_HUMAN	O00487	PSDE_HUMAN	PSMD14	310	Homo sapiens OX=9606	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 14	1	0.999	5	16	16	16	2	6	6	2	0	0	0	0	2	6	6	2	0	0	0	0	2	6	6	2	0	0	0	0	41657.42	88881.58	104482.29	61701.9	0	0	0	0	19869.889	43813.598	36106.637	40036.79	0	0	0	0	
sp|O00488|ZN593_HUMAN	O00488	ZN593_HUMAN	ZNF593	134	Homo sapiens OX=9606	1:Experimental evidence at protein level	Zinc finger protein 593	0.9797	0.999	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5897.2593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|O00499|BIN1_HUMAN	O00499	BIN1_HUMAN	BIN1	593	Homo sapiens OX=9606	1:Experimental evidence at protein level	Myc box-dependent-interacting protein 1	1	0.999	6	15	11	15	3	7	5	0	0	0	0	0	2	5	4	0	0	0	0	0	3	7	5	0	0	0	0	0	22976.422	64971.42	43662.785	0	0	0	0	0	10907.931	19910.08	25182.35	0	0	0	0	0	
sp|O00505|IMA4_HUMAN	O00505	IMA4_HUMAN	KPNA3	521	Homo sapiens OX=9606	1:Experimental evidence at protein level	Importin subunit alpha-4	1	0.999	5	10	10	14	1	4	4	1	0	0	0	0	1	4	4	1	0	0	0	0	2	5	6	1	0	0	0	0	0	36881.695	28320.193	0	0	0	0	0	0	17146.127	14514.774	0	0	0	0	0	
sp|O00507|USP9Y_HUMAN	O00507	USP9Y_HUMAN	USP9Y	2555	Homo sapiens OX=9606	2:Experimental evidence at transcript level	Probable ubiquitin carboxyl-terminal hydrolase FAF-Y	0.9993	0.9987	11	2	2	24	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	6	7	9	2	0	0	0	0	7602.2544	5696.9727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|O00541|PESC_HUMAN	O00541	PESC_HUMAN	PES1	588	Homo sapiens OX=9606	1:Experimental evidence at protein level	Pescadillo homolog	1	0.999	13	41	41	41	9	15	10	7	0	0	0	0	9	15	10	7	0	0	0	0	9	15	10	7	0	0	0	0	81409.81	184709.33	160058.55	64416.83	0	32674.307	0	0	23651.537	26123.744	31419.826	30306.504	0	0	0	0	
sp|O00560|SDCB1_HUMAN	O00560	SDCB1_HUMAN	SDCBP	298	Homo sapiens OX=9606	1:Experimental evidence at protein level	Syntenin-1	1	0.999	3	6	6	6	0	4	2	0	0	0	0	0	0	4	2	0	0	0	0	0	0	4	2	0	0	0	0	0	0	29599.09	27468.137	0	0	0	0	0	0	21616.287	19549.264	0	0	0	0	0	
sp|O00566|MPP10_HUMAN	O00566	MPP10_HUMAN	MPHOSPH10	681	Homo sapiens OX=9606	1:Experimental evidence at protein level	U3 small nucleolar ribonucleoprotein protein MPP10	1	0.999	6	14	14	14	4	4	5	1	0	0	0	0	4	4	5	1	0	0	0	0	4	4	5	1	0	0	0	0	22707.482	20196.133	41094.625	14385.702	0	0	0	0	13975.158	11009.124	12238.736	0	0	0	0	0	
sp|O00567|NOP56_HUMAN	O00567	NOP56_HUMAN	NOP56	594	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nucleolar protein 56	1	0.999	20	80	80	80	18	25	26	11	0	0	0	0	18	25	26	11	0	0	0	0	18	25	26	11	0	0	0	0	182843.8	324845.53	331151.47	158812.48	0	0	0	0	35501.66	31025.436	35232.773	33377.754	0	0	0	0	
sp|O00571|DDX3X_HUMAN	O00571	DDX3X_HUMAN	DDX3X	662	Homo sapiens OX=9606	1:Experimental evidence at protein level	ATP-dependent RNA helicase DDX3X	1	0.999	31	147	26	167	28	45	46	22	0	2	4	0	5	8	8	3	0	1	1	0	29	56	54	22	0	2	4	0	601936.75	871542.1	871444.44	611962.6	0	0	73001.94	0	52304.504	59733.426	60080.637	60281.52	0	0	51153.945	0	
sp|O00584|RNT2_HUMAN	O00584	RNT2_HUMAN	RNASET2	256	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ribonuclease T2	1	0.999	2	3	3	3	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	4492.242	3786.5144	3870.2212	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|O00592|PODXL_HUMAN	O00592	PODXL_HUMAN	PODXL	558	Homo sapiens OX=9606	1:Experimental evidence at protein level	Podocalyxin	1	0.999	8	40	40	40	10	10	11	4	0	1	4	0	10	10	11	4	0	1	4	0	10	10	11	4	0	1	4	0	283742.56	240820.7	292937.16	160184.62	0	28268.01	136573.69	0	90286.58	83250.52	85356.58	82419.945	0	0	70045.33	0	
sp|O00622|CCN1_HUMAN	O00622	CCN1_HUMAN	CCN1	381	Homo sapiens OX=9606	1:Experimental evidence at protein level	CCN family member 1	1	0.999	4	7	7	7	0	4	3	0	0	0	0	0	0	4	3	0	0	0	0	0	0	4	3	0	0	0	0	0	0	22353.248	21242.508	0	0	0	0	0	0	12948.333	11280.153	0	0	0	0	0	
