Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-26_3729.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-27_3730.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-28_3731.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-29_3732.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-30_3733.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-31_3734.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-34_3737.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-35_3738.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-36_3739.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-37_3740.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-38_3741.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-39_3742.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-50_3744.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-51_3745.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-52_3746.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-53_3748.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-54_3749.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-55_3750.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-56_3754.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-57_3755.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-58_3756.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-59_3758.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-60_3759.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-61_3760.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-62_3762.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-63_3763.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-64_3764.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-65_3766.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-66_3767.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-69_3768.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-74_3770.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-75_3771.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-77_3772.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-83_3774.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-84_3775.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-85_3776.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-86_3778.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-87_3779.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-88_3780.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_f_DIA_10ng_2-24-2024_Slot2-06_3864.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_f_DIA_20ng_2-24-2024_Slot2-17_3871.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_f_DIA_20ng_2-24-2024_Slot2-18_3872.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_m_DIA_20ng_2-24-2024_Slot2-13_3866.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_m_DIA_20ng_2-24-2024_Slot2-14_3867.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_m_DIA_20ng_2-24-2024_Slot2-15_3868.d
CONT|P00761|TRYP_PIG	CONT|P00761|TRYP_PIG	Trypsin	Trypsin		9.67362e+06	3.57216e+07	1.38186e+07	1.83922e+07	1.79392e+07	1.42708e+07	1.40522e+07	2.02249e+07	5.20186e+06	1.50427e+07	1.7066e+07	2.01236e+07	1.79356e+07	4.60351e+07	7.88342e+06	3.34687e+07	2.5991e+07	3.82485e+07	3.25641e+07	1.29336e+07	8.35047e+06	2.36812e+07	2.50371e+07	2.4309e+07	1.4016e+07	3.51956e+07	2.65574e+07	2.59352e+07	3.214e+07	3.43986e+07	2.11498e+07	1.35835e+07	2.66746e+07	2.58713e+07	1.27412e+07	1.66753e+07	2.74836e+07	1.33253e+07	2.31446e+07	117543	179024	108026	199486	167826	175692
CONT|P01017|ANGT_BOVIN	CONT|P01017|ANGT_BOVIN	Angiotensinogen	Angiotensinogen																																									442.18	619.878	957.221	680.867	750.292	675.749
CONT|P01030|CO4_BOVIN	P0C0L4;P0C0L5;CONT|P01030|CO4_BOVIN	Complement	Complement																		1956.22																					10488.4		4140.82	4425.82	4926.13	4404.25	4628.19	4247.26
CONT|P01045|KNG2_BOVIN	CONT|P01044|KNG1_BOVIN;CONT|P01045|KNG2_BOVIN	Kininogen-2	Kininogen-2												5882.67		7872.34				2497.83		3030.87						1607.91			1856.8		5816.41	8877.68		6721.29			10754.9		3140.53		2684.13	3740.49	2798.5	3604.41	3610	3342.17
CONT|P01966|HBA_BOVIN	CONT|P01966|HBA_BOVIN	Hemoglobin	Hemoglobin		20289.3	27442	26703.2	11616.5	12454.8	20070.8	16355.8	20368.7	10080.5	26144.4	25726.9	35108.3	40335.6	35537.5	13140.9	24967.6	24287.5	32840	24600.8	21798.2	20897.9	19723.7	25314.5	21973.3	30491.8	24466	20142.2	27235.6	29123.8	25411.5	23571.2	18749.1	23439	21564	16846	26442	17001	8935.5	19463.5	23232.5	31768.7	20907.8	33483.2	38498.8	21937.5
CONT|P02081|HBBF_BOVIN	CONT|P02081|HBBF_BOVIN	Hemoglobin	Hemoglobin		16397.9	29561	27042.7	17685.7	17869.1	21479.9	21237.7	25621.9	11001.2	20951	34558.7	29517.3	23915.7	44087.3	12444.6	55620.3	25248.2	27563.3	34079.8	17689.9	21090.5	20646	28544.8	22953.2	27336.1	31970.9	21514.6	27370.7	32898.4	34326.4	21058.2	23571	12727.7	27401.3	13133.6	24958.2	18254.8	13535.7	16887.5	16484.1	20337.9	13388.5	21398.6	20143.7	17915
CONT|P02663|CASA2_BOVIN	CONT|P02663|CASA2_BOVIN	Alpha-S2-casein	Alpha-S2-casein						1420.71													3557.3																											
CONT|P02672|FIBA_BOVIN	CONT|P02672|FIBA_BOVIN	Fibrinogen	Fibrinogen		7705.16	6034.59	7118.1	4303.05	4976.48	3502.34	3514.28	3899.57	3004.62	3787.44	6336.35	6150.91	9911.84	7020.73	2432	7622.28	5160.22	2682.85	1433.17		2661.01	3698.87	4505.91	5536.75	5955.63	5471.63	5430.42	2376.55	5133.44	3168.64	4711.85	6120.97	5549.95	3321.97	1070.69	4107.59	1282.26	4893.67	6007.38	1086.06	1574.98	1606.42	1658.68	3526.62	2431.43
CONT|P02676|FIBB_BOVIN	CONT|P02676|FIBB_BOVIN	Fibrinogen	Fibrinogen					3845.17	4107.81	3746.52			4082.07	13998.9		4473.45		14454.3		8318.63		6036.38		2820.3		5425.02		7384.06	4462.47			3885.25		7761.98	14544.3		7426.59	5165.31	2405.91		4913.53		7288.28	1882.82	2203.13	1730.57	2379.27	4554.29	2653.84
CONT|P02769|ALBU_BOVIN	CONT|P02769|ALBU_BOVIN	Albumin	Albumin		112768	213906	157700	102238	111324	152462	152019	169489	98316.2	219465	252877	271005	264170	340279	99689.3	359338	190076	251421	257044	184353	213563	211359	235544	235472	227770	244799	210369	244336	223684	342969	313331	196542	228695	310437	151647	262342	242900	155344	235701	10751.1	8915.74	10158.5	13002.3	11890	7723.73
CONT|P06868|PLMN_BOVIN	CONT|P06868|PLMN_BOVIN	Plasminogen	Plasminogen																											6376.81														1339.1	1078.4	1775.79	759.738	1012.21	692.835
CONT|P12763|FETUA_BOVIN	CONT|P12763|FETUA_BOVIN	Alpha-2-HS-glycoprotein	Alpha-2-HS-glycoprotein		26306.5	50631.1	31575.5	26108.6	22189.6	27035.8	19709.5	36439	18739.9	42878.2	49162.9	56364	53695.7	75625.4	22091.9	68862.6	43147.1	49969.6	58481.1	50709.2	41034	39378.1	39796.9	51963.1	40040.8	57081.3	33839.5	52078.6	47769.1	61134.3	60752.6	35602.4	49895	54312.4	40211.7	60160.9	47188.9	31867.1	37080.1	15842.5	20934.5	40141.6	37322.6	35003.2	26742.5
CONT|P15497|APOA1_BOVIN	CONT|P15497|APOA1_BOVIN	Apolipoprotein	Apolipoprotein						2321.29			3437.5			3782.78	6919.48										5411.85		3288.3				4348.47		12446.7								3686.17		5738.22	6214.31	6105.3	7314.54	7063.67	5412.7
CONT|P17690|APOH_BOVIN	CONT|P17690|APOH_BOVIN	Beta-2-glycoprotein	Beta-2-glycoprotein														5442.07												4052.34															1837.25	1604.36	1967.86	1203.91	1387.04	1247.44
CONT|P17697|CLUS_BOVIN	CONT|P17697|CLUS_BOVIN	Clusterin	Clusterin																										2278.24															994.359	1254.07	1034.72	1360.08	1356.23	1317.07
CONT|P28800|A2AP_BOVIN	CONT|P28800|A2AP_BOVIN	Alpha-2-antiplasmin	Alpha-2-antiplasmin										1536.98		3639.23										4362.57																	7325.79		933.483	1215	1027.39	1281.04	1444.26	1267.59
CONT|P34955|A1AT_BOVIN	CONT|P34955|A1AT_BOVIN	Alpha-1-antiproteinase	Alpha-1-antiproteinase		25293.3	50328	36954.3	24147.5	32501.9	34876.7	31010	46070.3	23147.1	42205.6	56506.7	59851.3	53672.6	68494.9	24181	42631.2	45290.8	59546.2	49287.6	37256.3	52283.2	43513.2	60429.1	50185.3	38319.2	44470.2	43909.1	56270.2	42155.1	59949.2	69997	45545.1	59482.9	48155.5	32395	56422.3	46336.9	39169.8	48603.2	7324.94	7234.14	5375.34	7599.27	6632.89	7715.37
CONT|P41361|ANT3_BOVIN	CONT|P41361|ANT3_BOVIN	Antithrombin-III	Antithrombin-III		8400.16				3818.34		2571.32				2507.34		2075.36			824.077									1559.4			4219.95	3303.58	3927.51	2368.72	9533.31		7471.19				3405.22	2744.69	8913.58	10712.2	10155.7	12872.7	12173	11470.9
CONT|P50448|F12AI_BOVIN	CONT|P50448|F12AI_BOVIN	Factor	Factor																																									1409.28	2270.83	1768.46	2179.98	2455.19	2392.03
CONT|P56652|ITIH3_BOVIN	CONT|P56652|ITIH3_BOVIN	Inter-alpha-trypsin	Inter-alpha-trypsin																																									1671.43	3090.33	2781.4	3186.15	2690.35	3368.7
CONT|P81644|APOA2_BOVIN	CONT|P81644|APOA2_BOVIN	Apolipoprotein	Apolipoprotein											4276.92																														10757.4	9439.61	13489.7	11677.3	8769.08	7588.7
CONT|Q03247|APOE_BOVIN	CONT|Q03247|APOE_BOVIN	Apolipoprotein	Apolipoprotein																																									9285.68	10409.4	12217.7	13037.2	12634.1	9495.56
CONT|Q28065|C4BPA_BOVIN	CONT|Q28065|C4BPA_BOVIN	C4b-binding	C4b-binding																										3493.78															1897.28	1953.01	2360.12	1757.38	2197.92	1965.57
CONT|Q28107|FA5_BOVIN	P12259;CONT|Q28107|FA5_BOVIN	Coagulation	Coagulation																																									4093.17	5506.89	4635.65	5441.36	5954.43	5295.75
CONT|Q29443|TRFE_BOVIN	CONT|Q29443|TRFE_BOVIN	Serotransferrin	Serotransferrin		19537.3	26715.6	27285.2	18676.7	22155.6	20085.3	21026.2	24164.1	13392.5	29046.3	29820.6	58459	35111.8	42152.7	15147.8	32800.9	22748.3	29989.7	32145.2	22232.2	28308	24138.7	34163.4	24782.7	22752.4	31797.7	21148.1	30712.6	49854.8	37847.7	35070.2	25291	26653.8	26988.7	15453.1	31750.6	27014.5	17500	26227.6	944.888	1842.04	1386.99	1964.71	1806.02	2043.19
CONT|Q2KIG3|CBPB2_BOVIN	Q96IY4;CONT|Q2KIG3|CBPB2_BOVIN	Carboxypeptidase	Carboxypeptidase																																									239.915	203.399		163.862	330.885	181.953
CONT|Q2UVX4|CO3_BOVIN	P01024;CONT|Q2UVX4|CO3_BOVIN	Complement	Complement					1723.75				1479.3														735.799											5185.64							315.264	553.149	646.269	505.566	620.501	488.066
CONT|Q3SX14|GELS_BOVIN	CONT|Q3SX14|GELS_BOVIN	Gelsolin	Gelsolin		3453.14					3295.87	4121.53		3455.27	6030.92	8952.05			14252.1	3833.41				2464.33									2889.51												3587.86	4158.22	1702.48	1390.32	2536.95	1326.92
CONT|Q3SZ57|FETA_BOVIN	CONT|Q3SZ57|FETA_BOVIN	Alpha-fetoprotein	Alpha-fetoprotein		148012	200405	150564	120492	126758	169127	140805	172792	78318.3	231851	235295	370339	282708	267036	90511.2	410873	196774	207160	294216	145990	208162	173065	212813	197608	260185	217022	139242	249495	195830	208187	202041	128612	191058	217455	129916	211342	178449	136392	117247	9782.16	8556.21	8658.98	9887.26	11528.1	8068.7
CONT|Q3SZV7|HEMO_BOVIN	CONT|Q3SZV7|HEMO_BOVIN	Hemopexin	Hemopexin			3921.91		873.191			1639.8	2076.42									6361.16			2791.43						5354.12	1856.76	5804.76		3839.8	3183.13	4312.98			2575.43	4221.45		1872.42	1588.35	1272.19	1840.67	1166.94	1519.18	998.903	1471.77
CONT|Q3T052|ITIH4_BOVIN	CONT|Q3T052|ITIH4_BOVIN	Inter-alpha-trypsin	Inter-alpha-trypsin									4362.56		18577.2	737.82	4949									4728.35																			1863.45	2542.82	2530.23	2819.64	2675.65	2698.79
CONT|Q3ZBS7|Q3ZBS7_BOVIN	CONT|Q3ZBS7|Q3ZBS7_BOVIN	Vitronectin	Vitronectin												68675.5																													26753.8	44602.3	30562.6	36830.6	42875.8	34637.4
CONT|Q58D62|FETUB_BOVIN	CONT|Q58D62|FETUB_BOVIN	Fetuin-B	Fetuin-B																																									527.895	128.788				
CONT|Q9N2I2|IPSP_BOVIN	CONT|Q9N2I2|IPSP_BOVIN	Plasma	Plasma																											3324.21														5755.99	9134.82	9202.75	7381.88	8684.11	7501.05
E9PAV3;Q13765	E9PAV3;Q13765	NACAM_HUMAN;NACA_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	13204.6	27427.3	16606.8	13611.3	9751.16	9530.96	9293.05	19974.7	9009.2	21394.9	13094.6	16357.4	20663.2	7900.68	7055.15			11014.8	13414.7	12318.7	12350.7	11287.6	8253.09		10604.4	17559.9	9167.05	10700.5		18745.6	13794.5	12180	9054.39		13401.4		14842.7		13997.1	11701.8	18192.2	43770.3	39087.9	14209.7	39700.8
E9PRG8	E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	4849.74			1407.36	4990.06	2566.91			1443.36	2308.67	3686.53				912.065			4283.69			2648.43	1860.7	2546.22		2723.85					2404.21			2598.4		4319.28		2273.6		1414.84	2188.16	1937.97	3297.39	2364.9	2298.31	2563.9
L0R6Q1	L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein																	5531.89																					2465.48		5027.42	5210.92	5477.25	5919.27	5772.28	5584.83
L0R819	L0R819	ASURF_HUMAN	ASDURF	ASNSD1 upstream open reading frame protein																																								514.531	674.588	732.046	897.464	626.407	756.014
L0R8F8	L0R8F8	MIDUO_HUMAN	MIEF1	MIEF1 upstream open reading frame protein								5331.3	5432.14						2361.02									3597.75																1124.52	1137.84	2109.82	1044.82	1984.35	1135.77
O00115	O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha							5938.69	7145.84									10491.3			6814.23											9677.9	11669			8032.98	5908.97		9543.42		11239.8	16126.4	9790.71	18955.8	15146.5	18826.6
O00116	O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal			3631.89	2684.76		3595.13			2549.37	1438.17					2736.39		4279.6	6698.75		4981.85		3184.82			2803.84	3374.53	2202.62	4184.33		3307.73		2285.74	4246.52		1670.85	6036		4114.32	3065.37	1678.63	1804.35	2547.38	2724.67	3050.23	2961.39
O00124	O00124	UBXN8_HUMAN	UBXN8	UBX domain-containing protein 8																																								8.8349	163.127	306.907	292.439	260.028	479.899
O00139	O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	6217.74		3571.04	9274.56	11467.2				4744.03		5037.19				7333.26					4566.77	4649.59	11941.8					4357.75	6315.19			5480.12				3766.29					3626.25	3151.07	4152.49	3444.08	3432.15	3488.82
O00142	O00142	KITM_HUMAN	TK2	Thymidine kinase 2, mitochondrial																																								1297.91	1185.55	1754.96	1427.71	1538.23	1540.77
O00148	O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A					1820.2						2722.01				1003.62				2400.22				2262.21			4896.41		4682.6				3272.66	2167.01		3858.97		2909.47		3050.04			193.386	147.088	291.843	180.773
O00151	O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	60992.6	52000.3	59924.9	55027.9	55114	64751.2	43925.4	48818.8	87286.2	42386.6	42454.2	48294.8	62962.2	52188.3	32112.3			46096.4	41975.2	29817.9	57501.8	58648.9	77691.2		39793	43112.1	66542.1	43441.4		58691.9	68835.2	49027.7	41839.5	4807.52	66355.2		69471.2		59715	12876.3	29716.1	20481.1	57542.2	39775.2	63673.4
O00154	O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	15005.7	16986.3	10836	19900.6	13849.4	14372	24525.6	14825.2	9100.49	14355	13728.5	15176.5	4464.95	10616.7	15004.5			3334.54	12470.7	13194.6	12050.7	9789.68	12359.8		22384.3	6611.87	12885.3	15480.8		9322.69	9597.01	14054.6	17992.8		13564.9		17195.2	5553.28	10664.7	3147.3	2399.24	3559.52	3292.4	2653.21	3493.22
O00159	O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	12052.2	10028.9	14639.9	13314	6651.1	11549.8	15964.5	11574.4	13786.1	9917.41	12429.1	9801.02	12501.8	11529	8502.25		11938.3	11935.6	11967.4	15108.3	11954.4	11394.3	10312.1	13293.3	12882.1	15132.6	10517.6	13646.7		13300.1	17466.7	12700.8	13621.8		13927.1	13979.6	8538.43	8720.77	14475.8	8536.9	7132.73	9787.03	6181.51	7122.66	6566.26
O00161	O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23													3894.78		4184.08					3543.38				4037.24				2933.99				6417.02			3429.81		3479.52		3020.84	2894.1	2950.98	3590.86	3393.04	2680.64	3020.85
O00165	O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1						3992.36											1984.46																							1757.77	1738.8	1716.68	1938.51	1901.86	2320.1
O00170	O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	4393.08		6008.32	8114.89	8956.32	7815.38	7302.97	5857.2	9434.45	8170.2	11202	6197.32	11078.4	3456.14	7170.54			1867.55	5007.35	7366.53	8523.23	3710.53	5214.74		7096.95	9620.64	5794.12	5008.92		6821.55	8345.25	6754.96	7476.54		3905.52		14989.3		2976.61	3504.47	4684	4214.26	3706.11	3317.48	3447.27
O00178	O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1					3583.61		9011								4987.05				11045.3								4622.46					5961.22	7274.74		2064.12		5505.47			2242.89	1656.51	2350.26	1900.8	1977.64	1859.01
O00182	O00182	LEG9_HUMAN	LGALS9	Galectin-9																											3603.18				440.515									807.193	722.284	1186.68	418.419	471.431	474.113
O00186	O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3		4574.82	4843.58	2489.25	3473.29	8368.79	3238.34	1814.22	3526.28	7626.44	5863.64				2154		4187.06			2284.72	7672.69					1500.34		3321.28		6769.29		5064.21	2199.64		4233.74		11485.5	2745.41	2563.21	3959.05	3928.55	4272.79	3874.67	3787.12	4350.3
O00189	O00189	AP4M1_HUMAN	AP4M1	AP-4 complex subunit mu-1																																								804.138	1168.99	1460.67	1268.37	969.975	1316.81
O00192	O00192	ARVC_HUMAN	ARVCF	Armadillo repeat protein deleted in velo-cardio-facial syndrome																																								903.209	927.894	1289.55	1644.93	1635.31	1707.54
O00193	O00193	SMAP_HUMAN	SMAP	Small acidic protein	9332.46		6783.12	4489.22	10379.4	6171.06	6092.74		8525.96			7517.26	5119.07		5051.06					4640.1	4744.41	4316.53	6132.18		5580.89	8308.52	6292.75	4536.74		7153.02	4196.93	3249.01	5076.48		3393.12		3843.63		3028.36	4525.41	8468.25	6776.37	7805.97	5901.1	6961.73
O00203	O00203;Q13367	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	4393.44		2144.95	2202.31	5048.04	7969.2	1395.65	4720.78	3217.86	6709.5	7154.62	9658.21	5852.51		5101.21			4585.84	1882.71	7616.41	12492.9				9413.73		9063.36	7247.9		6638.28		5281.85			9492.46		3165.53		4340.21	3446.14	2890.38	3633.27	2575.72	2713.1	2594.55
O00213	O00213	APBB1_HUMAN	APBB1	Amyloid beta precursor protein binding family B member 1																																								755.769	776.471	799.681	801.399	636.949	740.292
O00214	O00214	LEG8_HUMAN	LGALS8	Galectin-8	2520.64			4772.71					2187.64						3380.73						735.342	1977.48			4700.19		6143.6						4707.16							585.031	407.787	638.742	626.994	661.909	600.365
O00217	O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial				13023.5											14455.2																				2192			17413.8		2115.67	4205.65	2182.48	5920.48	4745.53	5238.77
O00221	O00221	IKBE_HUMAN	NFKBIE	NF-kappa-B inhibitor epsilon																																								557.827	516.77	657.524	477.65	492.539	728.036
O00231	O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	8227.09	24397.9	4940.19	7088.45	9728.99	13159.7	6441.13	5289.97	3991.61	7853.65	7930.24	11474.2	14003.5	7823.99	6770.89			6350.27	5483.8	9051.25	10460.5	8002.99	4474.1		13329.3	7819.16	9348.45	7088.76		3789.41		8740.13	6940.33		8057.98		6944.62		6172.61	5104.32	3354.06	3726.76	2951.16	2811.5	3314.12
O00232	O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	13281.9	5289.51	12946.5	10880	8858.08	12066	7757.63	10924.4	9007.68	8459.38	10466.5	19401.2	18614.2	6319.5	12943.8		3083.68	6533.18	8980.08	9494.77	10205.5	14823.2	11006.5		10380.5	9856.35	7850.77	8035.68		12307.1	8513.08	10343.9	6257.8		10695.6		14721.1		11071	8681.27	8646.02	10647.3	9337.95	9267.43	10604.6
O00233	O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	5744.52		4205.66	5982.5	2844.87	5642.56	8055.94	4951.14	5378.3	3643.77	7567.66				4340.15				5341.16	9393.25	8741.9	7359.63	6029.18		3751.55	3558.27		3631.29		7182.91	3945.68	5564.71	8263.76		7533.57		7268.7		6500.52	4415.56	7317.56	7449.19	8932.24	6708.36	8601.64
O00244	O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1							737.096																																	8502.15	13893.2	11561.6	16926.8	10639.3	16568.6
O00255	O00255	MEN1_HUMAN	MEN1	Menin																																								536.352	523.833	906.132	803.792	788.095	854.67
O00258	O00258	GET1_HUMAN	GET1	Guided entry of tail-anchored proteins factor 1																																								2955.98	2235.59	3067.03	2495.2	3119.08	2167.34
O00264	O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	14933.1	17454	19072.6	9753.22	18252.7	7335.87	16434.1	12137.3	7146.68	7258.5	11822.1	10694.8	27691.6	29331.2	15005		28869.2	15265	23031.3	19132.3		16067.7	10279.8	18968.4	9340.25	14945.1	19107.3	24721.9		21782.6	8702.95	11474.7	6343.27		15180	17023.9	18300.5	24271.8	19292.5	6999.34	12947.3	8899.52	15347.8	13819.4	14031.9
O00267	O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	9860.67	28269.6		4039.22	1999.03				14434.3						4395.66			4101.13	26472.5		22467.2				4873.79	4768.82	5380.25	33229.2			10444									871.562	805.409	1021.23	763.848	834.987	780.843
O00268	O00268	TAF4_HUMAN	TAF4	Transcription initiation factor TFIID subunit 4																																								260.137	419.239	586.917	374.087	341.51	573.787
O00273	O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	6006.2		3513.66		5854.57	4749.73		7055.87	3456.06	3356.26					2776.28					4628.52		5570.08				2499.86		5666.37		2720.65	2081.86	6926.08			6663.16		7505.48		10664.5	3219.28	5366.08	5049.18	5915.68	4157.93	6107.05
O00287	O00287	RFXAP_HUMAN	RFXAP	Regulatory factor X-associated protein																																								128.199	162.325	222.209	212.028	122.09	195.642
O00291	O00291	HIP1_HUMAN	HIP1	Huntingtin-interacting protein 1	5073.93		3839.86	3789.68	4351.98	3608.06	3409.94		5522.3		11575.3	5175.14	6437.49	4904.85	3576.29				4788.79	3902.08	5450.64	4802.96	6465.79		6459.83		8162.46	6811.41		9713.19	3776.9	6973.85	3724.52		4510.49				1908.17	954.985	738.324	1074.56	642.052	767.838	763.336
O00299	O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	83126.5	65932.1	86705.5	79376.1	77143.1	94937.8	82755.7	82145.3	95038.2	88286.6	85776	85723.4	79977.5	74380.1	42492	18672.2	7113.12	8292.16	99713.6	80354.5	98579	76949.3	68424.1	6723.42	109254	83696	90323.6	89817.4	14260.6	74072.3	69353.3	95609.7	93485.4	7116.83	84133.1	7670.53	74916.7	8979.47	68097.6	49619.2	26967.6	45969.2	30184.3	26587.3	28757.5
O00303	O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	10883.9	10570.6	10382.2	11634.6	9626.98	17732.7	9753.7	9864.4	6562.23	11150.5	11984.7	12324.2	8973.17	12049.3	14047.1		4004.92	7871.13	15687.3	6972.67	14829.9	11068.7	14912.3		13160.6	17761.1	11216.3	11963.3		9257.71	7249.12	13720.6	12633.5		12725.3		14221.6		11870.2	7137.61	12574.6	7441.92	14092.2	9927.23	14545.4
