Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	f_10ug_polyIC_1 Spectral Count	f_10ug_polyIC_2 Spectral Count	f_10ug_polyIC_3 Spectral Count	f_1ug_polyIC_1 Spectral Count	f_1ug_polyIC_2 Spectral Count	f_1ug_polyIC_3 Spectral Count	f_control_1 Spectral Count	f_control_2 Spectral Count	f_control_3 Spectral Count	f_lipo_1 Spectral Count	f_lipo_2 Spectral Count	f_lipo_3 Spectral Count	m_10ug_polyIC_1 Spectral Count	m_10ug_polyIC_2 Spectral Count	m_10ug_polyIC_3 Spectral Count	m_1ug_polyIC_1 Spectral Count	m_1ug_polyIC_2 Spectral Count	m_1ug_polyIC_3 Spectral Count	m_control_1 Spectral Count	m_control_2 Spectral Count	m_control_3 Spectral Count	m_lipo_1 Spectral Count	m_lipo_2 Spectral Count	m_lipo_3 Spectral Count	f_10ug_polyIC_1 Unique Spectral Count	f_10ug_polyIC_2 Unique Spectral Count	f_10ug_polyIC_3 Unique Spectral Count	f_1ug_polyIC_1 Unique Spectral Count	f_1ug_polyIC_2 Unique Spectral Count	f_1ug_polyIC_3 Unique Spectral Count	f_control_1 Unique Spectral Count	f_control_2 Unique Spectral Count	f_control_3 Unique Spectral Count	f_lipo_1 Unique Spectral Count	f_lipo_2 Unique Spectral Count	f_lipo_3 Unique Spectral Count	m_10ug_polyIC_1 Unique Spectral Count	m_10ug_polyIC_2 Unique Spectral Count	m_10ug_polyIC_3 Unique Spectral Count	m_1ug_polyIC_1 Unique Spectral Count	m_1ug_polyIC_2 Unique Spectral Count	m_1ug_polyIC_3 Unique Spectral Count	m_control_1 Unique Spectral Count	m_control_2 Unique Spectral Count	m_control_3 Unique Spectral Count	m_lipo_1 Unique Spectral Count	m_lipo_2 Unique Spectral Count	m_lipo_3 Unique Spectral Count	f_10ug_polyIC_1 Total Spectral Count	f_10ug_polyIC_2 Total Spectral Count	f_10ug_polyIC_3 Total Spectral Count	f_1ug_polyIC_1 Total Spectral Count	f_1ug_polyIC_2 Total Spectral Count	f_1ug_polyIC_3 Total Spectral Count	f_control_1 Total Spectral Count	f_control_2 Total Spectral Count	f_control_3 Total Spectral Count	f_lipo_1 Total Spectral Count	f_lipo_2 Total Spectral Count	f_lipo_3 Total Spectral Count	m_10ug_polyIC_1 Total Spectral Count	m_10ug_polyIC_2 Total Spectral Count	m_10ug_polyIC_3 Total Spectral Count	m_1ug_polyIC_1 Total Spectral Count	m_1ug_polyIC_2 Total Spectral Count	m_1ug_polyIC_3 Total Spectral Count	m_control_1 Total Spectral Count	m_control_2 Total Spectral Count	m_control_3 Total Spectral Count	m_lipo_1 Total Spectral Count	m_lipo_2 Total Spectral Count	m_lipo_3 Total Spectral Count	f_10ug_polyIC_1 Intensity	f_10ug_polyIC_2 Intensity	f_10ug_polyIC_3 Intensity	f_1ug_polyIC_1 Intensity	f_1ug_polyIC_2 Intensity	f_1ug_polyIC_3 Intensity	f_control_1 Intensity	f_control_2 Intensity	f_control_3 Intensity	f_lipo_1 Intensity	f_lipo_2 Intensity	f_lipo_3 Intensity	m_10ug_polyIC_1 Intensity	m_10ug_polyIC_2 Intensity	m_10ug_polyIC_3 Intensity	m_1ug_polyIC_1 Intensity	m_1ug_polyIC_2 Intensity	m_1ug_polyIC_3 Intensity	m_control_1 Intensity	m_control_2 Intensity	m_control_3 Intensity	m_lipo_1 Intensity	m_lipo_2 Intensity	m_lipo_3 Intensity	f_10ug_polyIC_1 MaxLFQ Intensity	f_10ug_polyIC_2 MaxLFQ Intensity	f_10ug_polyIC_3 MaxLFQ Intensity	f_1ug_polyIC_1 MaxLFQ Intensity	f_1ug_polyIC_2 MaxLFQ Intensity	f_1ug_polyIC_3 MaxLFQ Intensity	f_control_1 MaxLFQ Intensity	f_control_2 MaxLFQ Intensity	f_control_3 MaxLFQ Intensity	f_lipo_1 MaxLFQ Intensity	f_lipo_2 MaxLFQ Intensity	f_lipo_3 MaxLFQ Intensity	m_10ug_polyIC_1 MaxLFQ Intensity	m_10ug_polyIC_2 MaxLFQ Intensity	m_10ug_polyIC_3 MaxLFQ Intensity	m_1ug_polyIC_1 MaxLFQ Intensity	m_1ug_polyIC_2 MaxLFQ Intensity	m_1ug_polyIC_3 MaxLFQ Intensity	m_control_1 MaxLFQ Intensity	m_control_2 MaxLFQ Intensity	m_control_3 MaxLFQ Intensity	m_lipo_1 MaxLFQ Intensity	m_lipo_2 MaxLFQ Intensity	m_lipo_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|A1L0T0|HACL2_HUMAN	A1L0T0	HACL2_HUMAN	ILVBL	632	Homo sapiens OX=9606	1:Experimental evidence at protein level	2-hydroxyacyl-CoA lyase 2	1	0.999	10	120	120	120	6	8	8	2	2	4	4	4	7	7	6	3	5	4	6	4	5	7	7	5	4	4	3	5	6	8	8	2	2	4	4	4	7	7	6	3	5	4	6	4	5	7	7	5	4	4	3	5	6	8	8	2	2	4	4	4	7	7	6	3	5	4	6	4	5	7	7	5	4	4	3	5	1.03E+08	1.37E+08	1.31E+08	5.31E+07	5.32E+07	3.97E+07	3.75E+07	4.33E+07	3.53E+07	5.38E+07	7.35E+07	5084503.5	4.46E+07	2.73E+07	8.27E+07	4.07E+07	2.36E+07	8.71E+07	2.98E+07	6.81E+07	4.64E+07	3.63E+07	4.72E+07	7.58E+07	2.38E+07	3.57E+07	3.60E+07	4.70E+07	3.99E+07	3.61E+07	1.04E+07	1.60E+07	1.17E+07	2.30E+07	2.19E+07	0	1.59E+07	2.60E+07	2.58E+07	2.47E+07	9924347	2.33E+07	1.04E+07	3.01E+07	1.51E+07	2.21E+07	2.29E+07	2.57E+07	
sp|A1L188|NDUF8_HUMAN	A1L188	NDUF8_HUMAN	NDUFAF8	74	Homo sapiens OX=9606	1:Experimental evidence at protein level	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8	0.9573	0.9989	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A1X283|SPD2B_HUMAN	A1X283	SPD2B_HUMAN	SH3PXD2B	911	Homo sapiens OX=9606	1:Experimental evidence at protein level	SH3 and PX domain-containing protein 2B	1	0.999	31	332	288	332	15	20	17	14	12	18	19	17	14	16	11	12	16	10	14	10	13	15	15	11	12	11	10	10	13	19	16	12	10	16	17	15	12	14	10	9	13	9	12	9	11	12	13	9	10	9	9	9	15	20	17	14	12	18	19	17	14	16	11	12	16	10	14	10	13	15	15	11	12	11	10	10	4.11E+08	6.31E+08	4.03E+08	2.39E+08	3.39E+08	3.80E+08	4.17E+08	3.44E+08	3.65E+08	3.00E+08	2.16E+08	1.82E+08	2.19E+08	1.45E+08	3.15E+08	1.59E+08	2.57E+08	2.57E+08	2.89E+08	2.81E+08	2.26E+08	1.18E+08	1.20E+08	1.91E+08	6.43E+07	6.39E+07	6.56E+07	5.42E+07	6.33E+07	5.42E+07	6.69E+07	6.05E+07	5.49E+07	4.53E+07	4.66E+07	4.67E+07	4.07E+07	3.67E+07	5.35E+07	4.08E+07	5.96E+07	4.28E+07	5.20E+07	5.06E+07	4.83E+07	3.75E+07	3.81E+07	3.74E+07	
sp|A1XBS5|CBAR1_HUMAN	A1XBS5	CBAR1_HUMAN	CIBAR1	289	Homo sapiens OX=9606	1:Experimental evidence at protein level	CBY1-interacting BAR domain-containing protein 1	0.9607	0.999	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A2A3N6|PIPSL_HUMAN	A2A3N6	PIPSL_HUMAN	PIPSL	862	Homo sapiens OX=9606	5:Protein uncertain	Putative PIP5K1A and PSMD4-like protein	1	0.999	7	15	0	114	1	1	0	0	0	1	1	0	3	1	2	1	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	5	4	3	7	6	5	6	6	5	4	4	5	4	2	6	6	3	3	4	4	9	5	0	1.56E+07	0	0	0	1.01E+07	0	0	1.46E+07	1.33E+07	0	0	0	0	0	0	1.42E+07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A2RRP1|NBAS_HUMAN	A2RRP1	NBAS_HUMAN	NBAS	2371	Homo sapiens OX=9606	1:Experimental evidence at protein level	NBAS subunit of NRZ tethering complex	1	0.999	24	184	184	184	10	14	11	8	6	14	10	10	6	9	9	9	8	3	9	8	6	7	7	2	7	4	3	4	10	14	11	8	6	14	10	10	6	9	9	9	8	3	9	8	6	7	7	2	7	4	3	4	10	14	11	8	6	14	10	10	6	9	9	9	8	3	9	8	6	7	7	2	7	4	3	4	9.71E+07	1.41E+08	1.39E+08	6826391.5	5.33E+07	7.82E+07	5.06E+07	5.00E+07	4.59E+07	6.63E+07	5.38E+07	7.46E+07	3.88E+07	1.48E+07	5.69E+07	5.32E+07	4.93E+07	4.61E+07	3.91E+07	2.70E+07	3.77E+07	2.01E+07	1.13E+07	3.58E+07	2.07E+07	2.42E+07	2.59E+07	0	2.19E+07	1.70E+07	1.61E+07	1.74E+07	1.86E+07	2.05E+07	1.92E+07	1.82E+07	1.54E+07	1.20E+07	1.73E+07	1.41E+07	1.40E+07	1.08E+07	1.49E+07	1.27E+07	1.48E+07	1.71E+07	1.22E+07	1.50E+07	
sp|A2VDF0|FUCM_HUMAN	A2VDF0	FUCM_HUMAN	FUOM	154	Homo sapiens OX=9606	1:Experimental evidence at protein level	Fucose mutarotase	0.9249	0.998	1	2	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A3KMH1|VWA8_HUMAN	A3KMH1	VWA8_HUMAN	VWA8	1905	Homo sapiens OX=9606	1:Experimental evidence at protein level	von Willebrand factor A domain-containing protein 8	1	0.999	10	30	30	30	1	2	0	0	1	1	2	0	0	0	2	1	0	2	1	3	2	3	2	2	3	0	0	2	1	2	0	0	1	1	2	0	0	0	2	1	0	2	1	3	2	3	2	2	3	0	0	2	1	2	0	0	1	1	2	0	0	0	2	1	0	2	1	3	2	3	2	2	3	0	0	2	1.27E+07	2.47E+07	0	7768270.5	1.52E+07	1.19E+07	3.03E+07	2.90E+07	0	2.33E+07	3.41E+07	0	3.03E+07	3.31E+07	2.30E+07	3.13E+07	6.38E+07	1.74E+07	5.96E+07	3.18E+07	2.54E+07	3.29E+07	2.77E+07	3.33E+07	0	0	0	0	0	0	0	0	0	0	2.61E+07	0	2.15E+07	2.43E+07	0	2.50E+07	2.73E+07	0	2.52E+07	2.70E+07	2.24E+07	2.27E+07	1.93E+07	2.87E+07	
sp|A3KN83|SBNO1_HUMAN	A3KN83	SBNO1_HUMAN	SBNO1	1393	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein strawberry notch homolog 1	1	0.999	7	13	8	13	0	0	1	0	0	1	1	0	0	0	0	0	1	2	1	0	1	1	0	1	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	1	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	2	1	0	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5431703	0	0	0	6434430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A4D1E9|GTPBA_HUMAN	A4D1E9	GTPBA_HUMAN	GTPBP10	387	Homo sapiens OX=9606	1:Experimental evidence at protein level	GTP-binding protein 10	0.9999	0.999	3	5	5	5	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A4D1P6|WDR91_HUMAN	A4D1P6	WDR91_HUMAN	WDR91	747	Homo sapiens OX=9606	1:Experimental evidence at protein level	WD repeat-containing protein 91	1	0.999	3	5	5	5	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3386674.8	0	0	0	3436545.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A4D2B0|MBLC1_HUMAN	A4D2B0	MBLC1_HUMAN	MBLAC1	266	Homo sapiens OX=9606	1:Experimental evidence at protein level	Metallo-beta-lactamase domain-containing protein 1	0.957	0.9989	1	7	7	7	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.05E+07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A5D8V6|VP37C_HUMAN	A5D8V6	VP37C_HUMAN	VPS37C	355	Homo sapiens OX=9606	1:Experimental evidence at protein level	Vacuolar protein sorting-associated protein 37C	1	0.999	3	29	29	29	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	1	1.44E+07	8806922	1.07E+07	1.41E+07	0	1.31E+07	1.28E+07	1.53E+07	1.47E+07	1.36E+07	1.66E+07	1.55E+07	1.46E+07	1.57E+07	1.66E+07	1.32E+07	1.45E+07	1.60E+07	1.28E+07	1.20E+07	1.72E+07	1.27E+07	0	1.22E+07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A5PLN9|TPC13_HUMAN	A5PLN9	TPC13_HUMAN	TRAPPC13	417	Homo sapiens OX=9606	1:Experimental evidence at protein level	Trafficking protein particle complex subunit 13	0.998	0.997	3	6	6	6	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1.52E+07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A5YKK6|CNOT1_HUMAN	A5YKK6	CNOT1_HUMAN	CNOT1	2376	Homo sapiens OX=9606	1:Experimental evidence at protein level	CCR4-NOT transcription complex subunit 1	1	0.999	32	324	324	324	14	15	11	16	11	13	12	9	8	10	11	13	13	11	13	23	12	19	12	14	15	17	16	16	14	15	11	16	11	13	12	9	8	10	11	13	13	11	13	23	12	19	12	14	15	17	16	16	14	15	11	16	11	13	12	9	8	10	11	13	13	11	13	23	12	19	12	14	15	17	16	16	2.53E+08	9.84E+07	6.43E+07	1.11E+08	6.01E+07	1.16E+08	8.60E+07	6.76E+07	4.24E+07	8.62E+07	7.01E+07	9.07E+07	1.24E+08	8.10E+07	1.66E+08	2.61E+08	1.09E+08	3.33E+08	1.56E+08	3.52E+08	1.92E+08	3.86E+08	1.82E+08	2.68E+08	4.58E+07	3.79E+07	4.20E+07	2.84E+07	2.89E+07	3.20E+07	2.64E+07	3.05E+07	2.56E+07	2.56E+07	2.70E+07	3.34E+07	3.20E+07	2.92E+07	4.56E+07	4.12E+07	3.28E+07	3.90E+07	3.77E+07	4.36E+07	3.96E+07	4.52E+07	4.15E+07	4.60E+07	
sp|A6NCE7|MP3B2_HUMAN	A6NCE7	MP3B2_HUMAN	MAP1LC3B2	125	Homo sapiens OX=9606	1:Experimental evidence at protein level	Microtubule-associated proteins 1A/1B light chain 3 beta 2	1	0.999	9	155	0	155	7	7	6	7	6	6	5	6	4	4	5	8	5	10	8	5	6	6	9	6	8	6	9	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	6	7	6	6	5	6	4	4	5	8	5	10	8	5	6	6	9	6	8	6	9	6	6.55E+08	3.75E+08	3.41E+08	4.42E+08	4.60E+08	3.65E+08	3.22E+08	4.35E+08	3.04E+08	3.17E+08	3.54E+08	5.72E+08	5.96E+08	4.92E+08	5.29E+08	5.35E+08	4.57E+08	5.45E+08	5.09E+08	5.35E+08	5.82E+08	4.08E+08	6.40E+08	3.70E+08	1.22E+08	1.11E+08	1.04E+08	1.29E+08	1.32E+08	1.24E+08	1.24E+08	1.23E+08	1.14E+08	1.15E+08	1.10E+08	1.24E+08	1.55E+08	1.35E+08	1.42E+08	1.66E+08	1.55E+08	1.46E+08	1.23E+08	1.32E+08	1.42E+08	1.42E+08	1.58E+08	1.38E+08	sp|Q9GZQ8|MLP3B_HUMAN
sp|A6NDG6|PGP_HUMAN	A6NDG6	PGP_HUMAN	PGP	321	Homo sapiens OX=9606	1:Experimental evidence at protein level	Glycerol-3-phosphate phosphatase	1	0.999	8	83	83	83	3	3	4	5	2	6	4	3	2	4	3	2	2	4	3	4	4	3	4	4	5	3	3	3	3	3	4	5	2	6	4	3	2	4	3	2	2	4	3	4	4	3	4	4	5	3	3	3	3	3	4	5	2	6	4	3	2	4	3	2	2	4	3	4	4	3	4	4	5	3	3	3	7.83E+07	2.82E+08	7.88E+07	1.69E+08	3.27E+07	4.01E+08	3.49E+08	3.23E+08	1.13E+07	4.06E+08	3.56E+08	6.22E+07	2.77E+08	4.72E+08	5.39E+07	6.22E+07	7.33E+07	5.30E+07	2.65E+08	2.16E+08	2.86E+08	6.95E+07	0	6.87E+07	1.41E+08	1.02E+08	1.39E+08	8.68E+07	0	1.47E+08	1.37E+08	1.65E+08	0	1.62E+08	0	0	1.39E+08	1.89E+08	9.54E+07	9.44E+07	1.36E+08	0	1.29E+08	1.14E+08	1.32E+08	1.27E+08	0	1.26E+08	
sp|A6NDU8|RIMC1_HUMAN	A6NDU8	RIMC1_HUMAN	RIMOC1	294	Homo sapiens OX=9606	1:Experimental evidence at protein level	RAB7A-interacting MON1-CCZ1 complex subunit 1	0.9999	0.999	2	44	44	44	1	2	1	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1.60E+07	1.17E+07	1.57E+07	2.33E+07	2.14E+07	9460428	1.57E+07	1.55E+07	1.26E+07	1.28E+07	1.30E+07	1.74E+07	1.58E+07	1.63E+07	1.24E+07	2.21E+07	1.99E+07	1.42E+07	1.21E+07	1.22E+07	1.36E+07	1.89E+07	1.94E+07	1.52E+07	0	0	0	1.91E+07	1.54E+07	0	0	0	0	0	0	0	0	0	0	1.50E+07	0	0	0	0	0	1.43E+07	1.43E+07	9588680	
sp|A6NED2|RCCD1_HUMAN	A6NED2	RCCD1_HUMAN	RCCD1	376	Homo sapiens OX=9606	1:Experimental evidence at protein level	RCC1 domain-containing protein 1	0.951	0.9987	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A6NFI3|ZN316_HUMAN	A6NFI3	ZN316_HUMAN	ZNF316	1004	Homo sapiens OX=9606	1:Experimental evidence at protein level	Zinc finger protein 316	0.9122	0.9976	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A6NHR9|SMHD1_HUMAN	A6NHR9	SMHD1_HUMAN	SMCHD1	2005	Homo sapiens OX=9606	1:Experimental evidence at protein level	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	1	0.999	37	207	207	207	5	7	6	4	6	5	8	6	3	3	7	3	11	9	14	12	19	11	15	11	10	9	7	16	5	7	6	4	6	5	8	6	3	3	7	3	11	9	14	12	19	11	15	11	10	9	7	16	5	7	6	4	6	5	8	6	3	3	7	3	11	9	14	12	19	11	15	11	10	9	7	16	4.16E+07	1.32E+08	1.91E+08	1.42E+08	1.31E+08	1.64E+07	1.63E+08	2.28E+07	1.43E+08	6.90E+07	7292386	1.61E+08	9.93E+07	1.68E+08	1.13E+08	7.46E+07	1.06E+08	1.85E+08	2.04E+08	8.78E+07	1.73E+08	1.49E+08	4.07E+07	1.93E+08	5.65E+07	4.96E+07	7.08E+07	5.89E+07	4.62E+07	5.26E+07	4.79E+07	3.30E+07	4.18E+07	3.47E+07	0	0	5.51E+07	4.65E+07	7.36E+07	6.97E+07	6.55E+07	5.90E+07	6.43E+07	7.75E+07	5.75E+07	5.34E+07	5.41E+07	6.13E+07	
sp|A6NHX0|CAST2_HUMAN	A6NHX0	CAST2_HUMAN	CASTOR2	329	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cytosolic arginine sensor for mTORC1 subunit 2	0.9596	0.999	2	2	2	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8830650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A6NIH7|U119B_HUMAN	A6NIH7	U119B_HUMAN	UNC119B	251	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein unc-119 homolog B	1	0.999	4	89	68	89	3	2	4	4	3	6	3	4	5	5	2	4	4	3	4	4	4	4	3	4	2	3	4	5	2	1	3	3	2	5	2	3	3	4	2	3	3	3	3	3	3	3	2	3	2	3	3	4	3	2	4	4	3	6	3	4	5	5	2	4	4	3	4	4	4	4	3	4	2	3	4	5	5.40E+07	4.07E+07	4.74E+07	6.50E+07	5.10E+07	6.03E+07	7.29E+07	8.14E+07	2.53E+07	6.74E+07	4.87E+07	7.68E+07	4.43E+07	5.56E+07	5.11E+07	3.63E+07	4.98E+07	5.06E+07	5.45E+07	5.32E+07	5.85E+07	5.20E+07	5.34E+07	3.07E+07	2.93E+07	2.23E+07	2.99E+07	2.45E+07	2.79E+07	2.28E+07	2.81E+07	2.84E+07	0	2.70E+07	2.67E+07	3.06E+07	1.90E+07	2.64E+07	1.75E+07	1.99E+07	2.09E+07	1.98E+07	2.18E+07	2.09E+07	1.95E+07	2.48E+07	2.06E+07	1.67E+07	
sp|A6NJ78|MET15_HUMAN	A6NJ78	MET15_HUMAN	METTL15	407	Homo sapiens OX=9606	1:Experimental evidence at protein level	12S rRNA N4-methylcytidine (m4C) methyltransferase	1	0.999	3	22	22	22	0	0	0	1	0	1	1	1	0	1	1	1	1	2	1	1	1	1	2	2	1	1	1	1	0	0	0	1	0	1	1	1	0	1	1	1	1	2	1	1	1	1	2	2	1	1	1	1	0	0	0	1	0	1	1	1	0	1	1	1	1	2	1	1	1	1	2	2	1	1	1	1	0	0	0	3262531.2	0	3937216.8	2595583.8	5156358	0	2355541.2	0	1986350	7603758	5972828	3070290.2	6098794	1.03E+07	7504722	1.09E+07	9578959	7884512	4796099.5	6450052	7114846	0	0	0	0	0	0	0	0	0	0	0	0	5248830	0	0	0	0	0	7958793.5	0	0	0	0	0	
sp|A6NKD9|CC85C_HUMAN	A6NKD9	CC85C_HUMAN	CCDC85C	419	Homo sapiens OX=9606	1:Experimental evidence at protein level	Coiled-coil domain-containing protein 85C	1	0.999	3	8	8	8	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.38E+07	0	0	8633470	6462470.5	0	8933003	0	1.55E+07	6822424.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A6NNZ2|TBB8B_HUMAN	A6NNZ2	TBB8B_HUMAN	TUBB8B	444	Homo sapiens OX=9606	1:Experimental evidence at protein level	Tubulin beta 8B	1	0.999	15	21	20	2081	0	0	0	0	0	2	2	1	2	0	1	1	1	1	1	0	2	2	1	1	1	1	0	1	0	0	0	0	0	2	2	1	2	0	1	1	1	1	1	0	2	1	1	1	1	1	0	1	90	79	84	91	67	87	89	90	96	90	94	77	103	79	80	72	98	86	98	92	80	86	80	93	0	0	0	0	0	0	0	0	4.67E+07	0	0	0	0	0	0	0	0	0	0	5.18E+07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
