Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-220_3831.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-221_3832.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-222_3833.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-224_3835.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-225_3823.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-226_3824.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-228_3826.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-229_3827.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-230_3828.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-242_3837.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-243_3838.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-245_3840.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-246_3841.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-314_3844.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-316_3846.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-317_3847.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-318_3848.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-20-2024_Slot1-196_3784.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-20-2024_Slot1-197_3785.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-20-2024_Slot1-198_3786.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-20-2024_Slot1-200_3788.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-20-2024_Slot1-201_3789.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-202_3791.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-203_3792.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-204_3793.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-205_3794.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-206_3795.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-207_3796.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-219_3805.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-220_3806.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-221_3807.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-222_3808.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-223_3809.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-224_3810.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-22-2024_Slot1-226_3816.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-22-2024_Slot1-227_3817.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-22-2024_Slot1-228_3818.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-22-2024_Slot1-229_3819.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-22-2024_Slot1-230_3820.d
A0A0G2JXT8	A0A0G2JXT8	A0A0G2JXT8_RAT	Flnb	Filamin B	6475.25	4958.32	10614.1	8069.1	20274	6883.14	6599.89	10903.1	3271.06	3035.11	8557.79	6536.42	10196	10497.1	8373.96	5908.93	17018.6	4826.33	10463.4	6470.02	9730.32	10197.5	4188.78	11032.1	6964.67	9343.63	6161.54	12266.2	11444.8	5261.89	3340.77	6309.31	5554.09	8874.13	8554.82	5407.49	5433.53	4958.5	9220.13
A0A0G2JXT9	A0A0G2JXT9	A0A0G2JXT9_RAT	Arhgef17	Rho guanine nucleotide exchange factor 17																																							
A0A0G2JXY0	A0A0G2JXY0	A0A0G2JXY0_RAT	Ccdc9b	Coiled-coil domain containing 9B																																							
A0A0G2JY22	A0A0G2JY22	A0A0G2JY22_RAT	Dip2b	Disco-interacting protein 2 homolog B		2590.6			1693.16		2069.19				510.676		519.501														2632.78			1429.13	3185.25			7702.65				2032.09	
A0A0G2JY58	A0A0G2JY58	A0A0G2JY58_RAT	Pogz	Pogo transposable element derived with ZNF domain					594.051		2387.08																		6782.4											2079.8			
A0A0G2JY64	A0A0G2JY64	A0A0G2JY64_RAT	LOC688948	40S ribosomal protein S26					2422.6						336.621		3101.64		1714.41		882.76	4180.94		2911		2513.98	1046.98		2348.38	384.73	2804.87		1209.17		6491.78	5187.39		2895.09	1303.65	4048.51	4365.87	3511.93	
A0A0G2JY80	D3ZNF4;A0A0G2JY80	A0A0G2JY80_RAT	Tbl1x	Transducin (beta)-like 1 X-linked												17700.7															4739.21									11070.7	36431		
A0A0G2JY81	A0A0G2JY81	A0A0G2JY81_RAT	Fbln1	Fibulin-1																						2646.22																	
A0A0G2JYA7	A0A0G2JYA7	A0A0G2JYA7_RAT	Tarbp1	TAR (HIV-1) RNA binding protein 1																																							
A0A0G2JYE0	A0A0G2JYE0	A0A0G2JYE0_RAT	Atxn2l	Ataxin 2-like	5414.98		2503.14		7157.98							9345.95	2908.21		3068.38			5371.34		4492.5		2443.51	3847.46		8316.28	1085.84	3657.03			3502.27	3509.86	5725.51	3647.59	2382.64		3880.69	6921.42	3085.86	7778.58
A0A0G2JYF3	A0A0G2JYF3	A0A0G2JYF3_RAT	Hectd2	HECT-type E3 ubiquitin transferase																																							
A0A0G2JYF7	A0A0G2JYF7	A0A0G2JYF7_RAT	Ctnna2	Catenin alpha 2																																							
A0A0G2JYI7	A0A0G2JYI7	A0A0G2JYI7_RAT	Ubap2	Ubiquitin-associated protein 2																									1685.3		9168.75			2041.59	2532.15					539.707			
A0A0G2JYJ5	A0A0G2JYJ5	A0A0G2JYJ5_RAT	Ap5z1	Adaptor related protein complex 5 subunit zeta 1																																							
A0A0G2JYN4	A0A0G2JYN4	A0A0G2JYN4_RAT	Ergic2	Endoplasmic reticulum-Golgi intermediate compartment protein																																				1959.27			
A0A0G2JYQ5	A0A0G2JYQ5	A0A0G2JYQ5_RAT	Dtx3	E3 ubiquitin-protein ligase																																							
A0A0G2JYR1	A0A0G2JYR1	A0A0G2JYR1_RAT	Exoc6b	Exocyst complex component																														1311									
A0A0G2JYR4	A0A0G2JYR4	A0A0G2JYR4_RAT	Lrba	LPS responsive beige-like anchor protein	2131.87	10607.1	9466.87		1711.26						18558.4		12585.7					5400.82		1706.48			2415.26		4081.11		1756.67		6351.87	2106.89	2302.84					1142.05	4479.06	2070.32	
A0A0G2JYV0	D3ZWU1;A0A0G2JYV0	A0A0G2JYV0_RAT	Brd4	Bromodomain containing 4							2763.1															4402.04					868.218									4393.09		2390.58	
A0A0G2JYV2	A0A0G2JYV2	A0A0G2JYV2_RAT	Cpsf1	Cleavage and polyadenylation specific factor 1	2618.88								5994.74		2798.96		2820.91					1140.64			6352.99	35164.1	6794.79				2096.34			1850.35	4508.31		3279.26			909.832	15518.5	1965.39	
A0A0G2JYV3	A0A0G2JYV3	A0A0G2JYV3_RAT	Dazl	Deleted in azoospermia-like						3256.53			1682.82												2164.25																		
A0A0G2JYX9	A0A0G2JYX9	A0A0G2JYX9_RAT	Irak1	Interleukin-1 receptor-associated kinase 1																																							
A0A0G2JYZ7;A0A8I6G9L3	A0A8I6G9L3;A0A0G2JYZ7	A0A0G2JYZ7_RAT;A0A8I6G9L3_RAT	Or6c69d;Or6c69e	Olfactory receptor																																							
A0A0G2JYZ9	A0A0G2JYZ9	A0A0G2JYZ9_RAT	Them7	Thioesterase superfamily member 7																																							
A0A0G2JZ01	A0A0G2JZ01	A0A0G2JZ01_RAT	Eya3	Eyes absent homolog																																							
A0A0G2JZ02	A0A0G2JZ02	A0A0G2JZ02_RAT	RGD1563099	Glycine cleavage system H protein																																							
A0A0G2JZ38	A0A0G2JZ38	A0A0G2JZ38_RAT	Fhod1	Formin homology 2 domain containing 1																																							
A0A0G2JZ48	A0A0G2JZ48	A0A0G2JZ48_RAT	Tmf1	TATA element modulatory factor 1											1242.17		2707.18		1517.05					3078.79							1489.2			1368.42	3484.78					1012.09	1405.06		
A0A0G2JZ53	A0A0G2JZ53	A0A0G2JZ53_RAT	Birc6	Baculoviral IAP repeat-containing 6					3087.65		4240.97						2705.47		1290.18								1896.54				1929.9			1667.04	1839.03			6356.51		1080.42	2519	777.43	
A0A0G2JZ60	A0A0G2JZ60	A0A0G2JZ60_RAT	Fsd1l	Fibronectin type III and SPRY domain containing 1-like	2873.83																																						
A0A0G2JZ79	A0A0G2JZ79	SIR1_RAT	Sirt1	NAD-dependent protein deacetylase sirtuin-1																						4069.71																	
A0A0G2JZ84	A0A0G2JZ84	A0A0G2JZ84_RAT	Epg5	Ectopic P-granules autophagy protein 5 homolog																				4323.63							1400.28												
A0A0G2JZA6	A0A0G2JZA6	A0A0G2JZA6_RAT	LOC688712	Similar to ribosomal protein L22 like 1																																							
A0A0G2JZA7	A0A0G2JZA7	A0A0G2JZA7_RAT	Cemip2	Cell migration inducing hyaluronidase 2																																							
A0A0G2JZE7	A0A0G2JZE7	A0A0G2JZE7_RAT	Arhgef40	Rho guanine nucleotide exchange factor 40															2457.93															6099.72							1869.61		
A0A0G2JZF6	A0A0G2JZF6	A0A0G2JZF6_RAT	Ndufaf2	NADH:ubiquinone oxidoreductase complex assembly factor 2	534.74																																		1500.89	1520.47	939.709	2494.36	
A0A0G2JZH0	Q5XIJ7;A0A0G2JZH0	A0A0G2JZH0_RAT	Cab39	Calcium binding protein 39		4048.11			685.238							2890.75					4366.31			4270.89	2739.51						414.974			593.118	635.004			2959.99		4369.01	1474.57		
A0A0G2JZH4	A0A0G2JZH4	A0A0G2JZH4_RAT	Slc35a1	Solute carrier family 35 member A1																																							
A0A0G2JZH8	A0A0G2JZH8	A0A0G2JZH8_RAT	Pdhx	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex	1506.75			6299.01	3274.01	9394.73	3581.3		4833.78		3495.35	1097.1	1590.87	3060.27		9705.37		6287.12			1679.96	3676.08	2247.5				976.413				1086.07			3280.33	4148.66	1241.05	765.222	2999.91	
A0A0G2JZH9	A0A0G2JZH9	A0A0G2JZH9_RAT	Dhx57	DExH-box helicase 57																																					1735.92		
A0A0G2JZL6	A0A0G2JZL6	A0A0G2JZL6_RAT	Ift122	Intraflagellar transport 122																																							
A0A0G2JZR0	A0A0G2JZR0	A0A0G2JZR0_RAT	Spire1	Spire-type actin nucleation factor 1	2734.88	2654.27			1543.11					4004.49													1682.11		2828.46							5168.01			1723.23	765.631			
A0A0G2JZS1	A0A0G2JZS1	A0A0G2JZS1_RAT	Kpna6	Importin subunit alpha																																					1314.41		8650.42
A0A0G2JZT1	A0A0G2JZT1	A0A0G2JZT1_RAT	Nwd2	NACHT and WD repeat domain containing 2	13061.1	5012.34																					10523							5491.9							6277.32		
A0A0G2K001	A0A0G2K001	A0A0G2K001_RAT	Nsd3	Nuclear receptor binding SET domain protein 3																																							
A0A0G2K012	A0A0G2K012	A0A0G2K012_RAT	Ubxn6	UBX domain protein 6																											494.904												
A0A0G2K033	A0A0G2K033	A0A0G2K033_RAT	Usp36	ubiquitinyl hydrolase 1	703.251																										430.785												
A0A0G2K049	A0A0G2K049	A0A0G2K049_RAT	Bicral	BRD4 interacting chromatin remodeling complex associated protein like																																							
A0A0G2K059	A0A0G2K059	A0A0G2K059_RAT	Mcu	Calcium uniporter protein												3405.89															931.388				1981.63							1338.76	
A0A0G2K089	A0A0G2K089	A0A0G2K089_RAT	Dennd4c	DENN domain containing 4C																		967.783									1549.58			3696.99						1398.19	500.227		
A0A0G2K094	A0A0G2K094	A0A0G2K094_RAT	Arid4a	AT-rich interaction domain 4A																																							
A0A0G2K0C0	A0A0G2K0C0	A0A0G2K0C0_RAT	Fpgt	Fucose-1-phosphate guanylyltransferase																														345.749	885.096							1528.59	
A0A0G2K0E0	A0A0G2K0E0	A0A0G2K0E0_RAT	Ddx56	ATP-dependent RNA helicase											2591.68		2770.92														757.08			1901.31	1596.15						875.676	5461.99	
A0A0G2K0G9	A0A0G2K0G9	A0A0G2K0G9_RAT	Rin3	Ras and Rab interactor 3																																							
A0A0G2K0J0	A0A0G2K0J0	A0A0G2K0J0_RAT	Supt6h	Transcription elongation factor spt6	1303.74								4503.9				1007.29		7611.3			3819.87				3136.21	2211.96		6046.43		2343.6			1544.41	3187.15				2418.57	1485.68	2582.84	3393.95	
A0A0G2K0J7	A0A0G2K0J7	A0A0G2K0J7_RAT	Ctdp1	protein-serine/threonine phosphatase					4048.59							4932.83						5034.43	1318.78				3022.62		7945.08		8145.45				1383.76					3616.24	3875.17		
A0A0G2K0L0	A0A0G2K0L0	A0A0G2K0L0_RAT	Papss1	3'-phosphoadenosine 5'-phosphosulfate synthase 1	1840.58		2351.84		2759.82		1598.79				2012.76	1877.06						1542.72		1334.04		565.391	773.214				2458.36			1223.39	1866.05	11087.9	17068	5685.64		4299.12	1936.57	1342.25	
A0A0G2K0S7	A0A0G2K0S7	A0A0G2K0S7_RAT	Rap1gap2	RAP1 GTPase activating protein 2																																							
A0A0G2K0U8	A0A0G2K0U8	A0A0G2K0U8_RAT	Pus10	tRNA pseudouridine(55) synthase																																							
A0A0G2K0W3	A0A0G2K0W3	A0A0G2K0W3_RAT	Ttyh3	Protein tweety homolog																																							
A0A0G2K0X0	A0A0G2K0X0	A0A0G2K0X0_RAT	Tafazzin	Tafazzin family protein																																					1114.69		
A0A0G2K0Z9	A0A0G2K0Z9	A0A0G2K0Z9_RAT	Nop14	NOP14 nucleolar protein																							1787.41								2748.53					3479.25	3402.63	6357.36	
A0A0G2K102	A0A0G2K102	A0A0G2K102_RAT	Kbtbd4	Kelch repeat and BTB domain containing 4																																							
A0A0G2K160	A0A0G2K160	A0A0G2K160_RAT	Ahctf1	AT hook containing transcription factor 1	554.266		1613.02											5281.89	7346.76	10602.9		2155.53		14857.4	715.604		943.833				2410.91				3239.25				81415.9	902.683	2657.81	1911.04	
A0A0G2K162	A0A0G2K162	A0A0G2K162_RAT	Epb41l2	Erythrocyte membrane protein band 4.1-like 2		5338.26	6594.88				6567.64					56484.4											2738.83		5272.61		3944.34							1511.59		15795.7			
A0A0G2K189	A0A0G2K189	A0A0G2K189_RAT	Scrn3	Secernin 3	829.47				2368.32																																		
A0A0G2K1A1	A0A0G2K1A1	A0A0G2K1A1_RAT	Zfp706	Small EDRK-rich factor-like N-terminal domain-containing protein																																							
A0A0G2K1A4	A0A0G2K1A4	A0A0G2K1A4_RAT	Evi5l	Ecotropic viral integration site 5-like																																							
A0A0G2K1A8	A0A0G2K1A8	A0A0G2K1A8_RAT	Plekha1	Pleckstrin homology domain containing A1																																							
A0A0G2K1A9	A0A0G2K1A9	A0A0G2K1A9_RAT	Nol11	Nucleolar protein 11																											1390.4			3247.17									
A0A0G2K1B0	A0A0G2K1B0	A0A0G2K1B0_RAT	Rbfa	Ribosome binding factor A																																							
A0A0G2K1B6	A0A0G2K1B6	A0A0G2K1B6_RAT	Nfix	Nuclear factor 1																																921.837							
A0A0G2K1B7	A0A0G2K1B7	A0A0G2K1B7_RAT	N4bp2l1	NEDD4 binding protein 2-like 1																																				901.896			
A0A0G2K1D2	A0A0G2K1D2	A0A0G2K1D2_RAT	Rap1gds1	Rap1 GTPase-GDP dissociation stimulator 1	1168.84	7645.86	3851.47	660.276	832.329						2732.84	5123.58	7021.92		7636.43			1652.67												2224.34	3328.52	805.738				3083.15	1375.68	3138.93	
A0A0G2K1E3	A0A0G2K1E3	A0A0G2K1E3_RAT	Kmt2b	[histone H3]-lysine(4) N-methyltransferase			1365.55																																				
A0A0G2K1E5	A0A0G2K1E5	A0A0G2K1E5_RAT	Sympk	Symplekin	138.395											85462.8																		46530.8	721.389					467.984		976.224	
A0A0G2K1H0	A0A0G2K1H0	A0A0G2K1H0_RAT	Kdm5c	[histone H3]-trimethyl-L-lysine(4) demethylase																																							
A0A0G2K1L5	A0A0G2K1L5	A0A0G2K1L5_RAT	Reep2	Receptor expression-enhancing protein																																							
A0A0G2K1N9	A0A0G2K1N9	A0A0G2K1N9_RAT	Selenoo	Selenoprotein O																																							
A0A0G2K1P3	A0A0G2K1P3	A0A0G2K1P3_RAT	Bnip2	BCL2 interacting protein 2																																							
A0A0G2K1Q8	A0A0G2K1Q8	ABCA3_RAT	Abca3	Phospholipid-transporting ATPase ABCA3					5025.4		11758.1														4210.85						2580.47				2946.42								
A0A0G2K1R2	B1H245;A0A0G2K1R2;D3ZUL4	A0A0G2K1R2_RAT	Bcl7a	Uncharacterized protein																														476.551						1604.02			
A0A0G2K1T3	A0A0G2K1T3	A0A0G2K1T3_RAT	Sbf2	SET binding factor 2																														3420.11									
A0A0G2K1V3	A0A0G2K1V3	A0A0G2K1V3_RAT	Tsen15	tRNA splicing endonuclease subunit 15																																				217.008			
A0A0G2K1W9	A0A0G2K1W9	A0A0G2K1W9_RAT	Ldhd	Lactate dehydrogenase D																																							
A0A0G2K1X2	A0A0G2K1X2	A0A0G2K1X2_RAT	Smim29	Small integral membrane protein 29																																							
A0A0G2K213	A0A0G2K213	A0A0G2K213_RAT	Ten1	TEN1 subunit of CST complex																																							
A0A0G2K254	A0A0G2K254	A0A0G2K254_RAT	Ndc80	Kinetochore protein NDC80																											1297.72										1000.38		
A0A0G2K261	A0A0G2K261	A0A0G2K261_RAT	Iars2	isoleucine--tRNA ligase	2041.03			11813.5	5257.79	9992.38			12375.8	11287.6	5404.98	4962.51	3758.72	20537.8	6865.67	6552.67		3630.46		5902.26	5111.29	2914.36		4155.23		4199.44	3581.81			3352.36	3471.53		11170.9	13125.7	9301.64	6586.02	3933.34	4079.45	15800.1
A0A0G2K264	A0A0G2K264	A0A0G2K264_RAT	Dap3	Small ribosomal subunit protein mS29									3777.85					6061.7		5516.81							5389		3551.89		1212.02			2786.64	4978.07					1131.24			
A0A0G2K283	A0A0G2K283	A0A0G2K283_RAT	Dhx8	RNA helicase																																							
A0A0G2K2A7	A0A0G2K2A7	A0A0G2K2A7_RAT	Med11	Mediator of RNA polymerase II transcription subunit 11																																							
A0A0G2K2B0	A0A0G2K2B0	A0A0G2K2B0_RAT	Phc3	Polyhomeotic homolog 3																																							
A0A0G2K2B7	A0A0G2K2B7	A0A0G2K2B7_RAT	Wdr20	WD repeat domain 20																																							
A0A0G2K2C7	A0A0G2JZU8;A0A0G2K2C7	A0A0G2K2C7_RAT	Usp9x	ubiquitinyl hydrolase 1	5008.17	11994.8	3594.57	8678.31	3786.91							8869.96	2868.87		11043.7	7561		5006.93			23052.8		4601.01				5360.47			5636.38	6536.47	7642.25				7452.05	4487.05	3467.5	
A0A0G2K2F8	A0A0G2K2F8	A0A0G2K2F8_RAT	Zfp106	Zinc finger protein 106																																							
A0A0G2K2G7	A0A0G2K2G7	A0A0G2K2G7_RAT	Anks1a	Ankyrin repeat and sterile alpha motif domain containing 1A																																							
A0A0G2K2H4	A0A0G2K2H4	A0A0G2K2H4_RAT	Ern1	non-specific serine/threonine protein kinase																																							
A0A0G2K2J0	A0A0G2K2J0	A0A0G2K2J0_RAT	Shcbp1	SHC binding and spindle associated 1																		6099.57													1143.47						3309.58	10739.7	
A0A0G2K2J6	A0A0G2K2J6	A0A0G2K2J6_RAT	ENSRNOG00000065692	Olfactory receptor	390.799										1209.02			3126.07									420.68							1468.89	1073.78					359.804	1018.15	621.599	
A0A0G2K2M3	A0A0G2K2M3	A0A0G2K2M3_RAT	Stat6	Signal transducer and activator of transcription	666.464		4234.69																																			994.454	
A0A0G2K2P5	A0A0G2K2P5	ZO1_RAT	Tjp1	Tight junction protein ZO-1	2538.63	3097.27			1217.23							15249.8			2810.91												1836.65			2333.59	4057.97	4239.09	4156.01	2503.58		1668.3	2649.22	1456.72	
A0A0G2K2Q2	A0A0G2K2Q2	A0A0G2K2Q2_RAT	Gcat	Glycine C-acetyltransferase																																							
A0A0G2K2R0	A0A0G2K2R0	A0A0G2K2R0_RAT	Frmd4a	FERM domain containing 4A																																							
A0A0G2K2V5	A0A0G2K2V5	A0A0G2K2V5_RAT	Exoc1	Exocyst complex component 1		5604.78			7475.81			7338.84											9773.06								1361.52												
A0A0G2K2Y9	A0A0G2K2Y9	A0A0G2K2Y9_RAT	Plxnb2	Plexin B2		1840.81			3139.93						2528.28				4735.3								9226.94				2031.22	7315.06		6791.85	8290.92					2144.88	1858.78	2592.65	
A0A0G2K2Z0	A0A0G2K2Z0	A0A0G2K2Z0_RAT	Eml4	EMAP like 4	2153.54				2188.3								2514.66														1156.79			1600.94	797.249	3382.71	4046.34	4817.57	1682.07	631.654		2255.53	
A0A0G2K2Z2	A0A0G2K2Z2	A0A0G2K2Z2_RAT	Inpp5k	Inositol polyphosphate-5-phosphatase K		3149.11			3796.33													2996.88									1843.04		3316.54				1858.54			3466.13	3186.14	809.581	
A0A0G2K305	A0A0G2K305	A0A0G2K305_RAT	Cwf19l2	CWF19 like cell cycle control factor 2																											396.417											399.491	
A0A0G2K309	A0A0G2K309	ORNT1_RAT	Slc25a15	Mitochondrial ornithine transporter 1																																							
A0A0G2K313	A0A0G2K313	A0A0G2K313_RAT	Lonrf1	LON peptidase N-terminal domain and ring finger 1																																							
A0A0G2K350	A0A0G2K350	A0A0G2K350_RAT	Napg	NSF attachment protein gamma	1087.09	11787.8	5482.3				3252.87																				1438.62			796.203		30997.4				71255.3	38393.1		
A0A0G2K351	A0A0G2K351	A0A0G2K351_RAT	Unc119b	Malectin	1739.18		2650.78																	7561.66			1754.38			9540.4	957.465			2031.48	761.274			4186.44		943.108	935.98		
A0A0G2K397	A0A0G2K397	A0A0G2K397_RAT	LOC102551929	Melanoma-associated antigen G1-like																																							
A0A0G2K3H2	A0A0G2K3H2	A0A0G2K3H2_RAT	Dock7	Dedicator of cytokinesis 7	2703.94	3484.49																												306.913						1398.7		7567.83	
A0A0G2K3L8	A0A0G2K3L8	A0A0G2K3L8_RAT	Wdfy1	WD repeat and FYVE domain containing 1		2990.49																																					
A0A0G2K3N6	A0A0G2K3N6	A0A0G2K3N6_RAT	Kdm5b	[histone H3]-trimethyl-L-lysine(4) demethylase																																							
A0A0G2K3N7	A0A0G2K3N7	A0A0G2K3N7_RAT	Or5b12	Olfactory receptor	1880.92	4353.09	8354.03		4904.03	6842.46								11303.3			93168.6	6474.31		11510.9	11622.8		15976.5			11738.1	3903.62		16038.5		2010.41	4855.09	4057.65	11826.8	7923.61		3953		
A0A0G2K3W1	A0A0G2K3W1	A0A0G2K3W1_RAT	Vwa8	von Willebrand factor A domain containing 8									5355.42														2027.94				1070.09			4791.68			1395.79				3387.92	832.067	
A0A0G2K3Y6	A0A0G2K3Y6	A0A0G2K3Y6_RAT	Cpeb4	Cytoplasmic polyadenylation element binding protein 4																																							
A0A0G2K402	A0A0G2K402	A0A0G2K402_RAT	Myef2	Myelin expression factor 2	6676.54	8628.5	6953.42	4604.77	5532.17	13078.4	2028.12		4624.81	9180.11	8243.46	8441.03	8146.32	12045.9	2973.66	20530.7	9311.24	11742.9	10418	10584.7	8343.2	5682.77	10343.8		8222.47	6463.01	7384.73	6354.24		5111.8	9967.56	7582.21	6887.27	19754.2	10800	4651.81	7754.97	7227.01	8709.23
A0A0G2K420	A0A0G2K420	A0A0G2K420_RAT	Patz1	POZ (BTB) and AT hook containing zinc finger 1																																							
A0A0G2K427	A0A0G2K427	A0A0G2K427_RAT	Ivns1abp	Influenza virus NS1A binding protein	1840.67	1951.69								4923.87																	1870.69					5558.91						1684.8	
A0A0G2K435	A0A0G2K435	A0A0G2K435_RAT	Dnajc7	DnaJ heat shock protein family (Hsp40) member C7	1705.69	7703.8		37674.7			13693.6				1322.75		1539.53		1753.62			1307.14			3634.81		1642.54				1353.89			1101.73	1202.46	697.45	5516.81	2773.64		885.193	2073.31	2201.73	
A0A0G2K437	A0A0G2K437	A0A0G2K437_RAT	Amfr	Autocrine motility factor receptor	7336.46	9900.93			2253.38	1674.24				2639.06			3971.01		2383.82	4981.58	2880.15				3907.48		4362.01				433.431			1549.6	1047.09			2176.15				1140.33	
A0A0G2K4A0	A0A0G2K4A0	A0A0G2K4A0_RAT	Rab11fip5	RAB11 family interacting protein 5																																							
A0A0G2K4D6	A0A0G2K4D6	A0A0G2K4D6_RAT	Rufy2	RUN and FYVE domain containing 2																																							
A0A0G2K4G0	A0A0G2K4G0	A0A0G2K4G0_RAT	Rai1	Retinoic acid induced 1																		4015.53			2963.66																		
A0A0G2K4H7	A0A0G2K4H7	A0A0G2K4H7_RAT	Krt78	Keratin 78	288.015	2618.88		1828.52		15123.8	9754.4	3953.8		6490.69				4171.68	4376.37	2610.01	6610.61		12225.2		5416.67	1861.8	569.351	13644.2	5356.35		2791.42					4662.56					2777.19		12890.8
A0A0G2K4I3	A0A0G2K4I3	A0A0G2K4I3_RAT	Adgra1	Adhesion G protein-coupled receptor A1																																							
A0A0G2K4K0	A0A0G2K4K0	A0A0G2K4K0_RAT	Rreb1	Ras responsive element binding protein 1																																							
A0A0G2K4K6	A0A0G2K4K6	A0A0G2K4K6_RAT	Edrf1	Erythroid differentiation regulatory factor 1																																							
A0A0G2K4R1	A0A0G2K4R1	A0A0G2K4R1_RAT	Ppp1r12c	Protein phosphatase 1 regulatory subunit	1190.06																						2202.25															1759.06	
A0A0G2K4S4	A0A0G2K4S4	A0A0G2K4S4_RAT	Ddx51	ATP-dependent RNA helicase																															612.228								
A0A0G2K4T5	A0A0G2K4T5	A0A0G2K4T5_RAT	Smc5	Structural maintenance of chromosomes protein 5	185.743																																			1499.78			
A0A0G2K528	A0A0G2K528;Q4V883	A0A0G2K528_RAT	Stx16	Syntaxin 16	2119.59	14391.7		4945.41	2763.28	1868.46			4295.76		7869.57		6198.05			2763	2942.61				9467.71					5074.16	2645.88	5839.16		3082.09	1907.99					3131.16	1989.63	2329.27	
