Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	LFQ.intensity.control_231_1	LFQ.intensity.control_231_2	LFQ.intensity.control_231_3	LFQ.intensity.control_468_1	LFQ.intensity.control_468_2	LFQ.intensity.control_468_3	LFQ.intensity.control_468_42hr_1	LFQ.intensity.control_468_42hr_2	LFQ.intensity.control_468_42hr_3	LFQ.intensity.drug_231_1	LFQ.intensity.drug_231_2	LFQ.intensity.drug_231_3	LFQ.intensity.drug_468_1	LFQ.intensity.drug_468_2	LFQ.intensity.drug_468_3	LFQ.intensity.drug_468_42hr_1	LFQ.intensity.drug_468_42hr_2	LFQ.intensity.drug_468_42hr_3	LFQ.intensity.high_231_2	LFQ.intensity.high_231_3	LFQ.intensity.high_drug_231_2	LFQ.intensity.high_drug_231_3	LFQ.intensity.high_231_1	LFQ.intensity.low_468_1	LFQ.intensity.low_468_2	LFQ.intensity.low_468_3	LFQ.intensity.low_468_42hr_1	LFQ.intensity.low_468_42hr_2	LFQ.intensity.low_468_42hr_3	LFQ.intensity.high_drug_231_1	LFQ.intensity.low_drug_468_42hr_3	LFQ.intensity.low_drug_468_1	LFQ.intensity.low_drug_468_2	LFQ.intensity.low_drug_468_3	LFQ.intensity.low_drug_468_42hr_1	LFQ.intensity.low_drug_468_42hr_2	Indistinguishable Proteins
sp|A6ZKI3|RTL8C_HUMAN	A6ZKI3	RTL8C_HUMAN	RTL8C	113	Homo sapiens OX=9606	1:Experimental evidence at protein level	Retrotransposon Gag-like protein 8C	4.27E+07	2.60E+07	1.96E+07	8.72E+07	8.27E+07	1.17E+08	1.03E+08	2.16E+08	1.22E+08	3.37E+07	3.72E+07	3.22E+07	1.03E+08	1.14E+08	1.04E+08	1.41E+08	2.06E+08	1.30E+08	4.80E+07	0	0	0	4.44E+07	1.06E+08	9.63E+07	7.03E+07	1.84E+08	1.75E+08	1.61E+08	3.91E+07	1.05E+08	9.21E+07	1.14E+08	9.90E+07	0	1.71E+08	
sp|A7E2V4|ZSWM8_HUMAN	A7E2V4	ZSWM8_HUMAN	ZSWIM8	1837	Homo sapiens OX=9606	1:Experimental evidence at protein level	Zinc finger SWIM domain-containing protein 8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A7KAX9|RHG32_HUMAN	A7KAX9	RHG32_HUMAN	ARHGAP32	2087	Homo sapiens OX=9606	1:Experimental evidence at protein level	Rho GTPase-activating protein 32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A8CG34|P121C_HUMAN	A8CG34	P121C_HUMAN	POM121C	1229	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nuclear envelope pore membrane protein POM 121C	0	0	2.19E+07	3.82E+07	3.59E+07	4.12E+07	5.36E+07	0	6.28E+07	0	0	0	2.75E+07	2.86E+07	2.95E+07	2.31E+07	0	0	0	0	0	0	0	2.32E+07	0	2.51E+07	1.84E+07	1.58E+07	5.85E+07	0	5.05E+07	0	0	2.41E+07	4.41E+07	0	
sp|A8MT69|CENPX_HUMAN	A8MT69	CENPX_HUMAN	CENPX	81	Homo sapiens OX=9606	1:Experimental evidence at protein level	Centromere protein X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A8MTT3|CEBOS_HUMAN	A8MTT3	CEBOS_HUMAN	CEBPZOS	80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein CEBPZ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A8MWD9|RUXGL_HUMAN	A8MWD9	RUXGL_HUMAN	SNRPGP15	76	Homo sapiens OX=9606	5:Protein uncertain	Putative small nuclear ribonucleoprotein G-like protein 15	1.04E+09	9.75E+08	8.09E+08	6.80E+08	6.26E+08	7.50E+08	6.73E+08	9.16E+08	8.33E+08	1.16E+09	9.43E+08	9.81E+08	7.03E+08	6.01E+08	7.09E+08	7.15E+08	6.32E+08	7.04E+08	9.91E+08	1.16E+09	1.01E+09	1.07E+09	9.28E+08	7.39E+08	5.30E+08	3.48E+08	1.02E+09	9.26E+08	7.58E+08	6.67E+08	6.11E+08	6.07E+08	7.02E+08	5.66E+08	6.99E+08	6.78E+08	sp|P62308|RUXG_HUMAN
sp|A8MXV4|NUD19_HUMAN	A8MXV4	NUD19_HUMAN	NUDT19	375	Homo sapiens OX=9606	1:Experimental evidence at protein level	Acyl-coenzyme A diphosphatase NUDT19	0	4.93E+07	8.55E+07	4.06E+07	4.13E+07	6.50E+07	0	0	0	4.85E+07	6.63E+07	7.86E+07	4.76E+07	8.58E+07	5.65E+07	0	0	0	6.53E+07	0	9.49E+07	7.47E+07	5.30E+07	4.80E+07	0	0	0	3.33E+07	5.74E+07	5.72E+07	0	3.30E+07	0	4.63E+07	0	0	
sp|A9UHW6|MI4GD_HUMAN	A9UHW6	MI4GD_HUMAN	MIF4GD	222	Homo sapiens OX=9606	1:Experimental evidence at protein level	MIF4G domain-containing protein	0	0	0	0	0	0	0	3.18E+07	0	0	0	0	3.25E+07	2.37E+07	3.43E+07	3.44E+07	6.90E+07	4.23E+07	0	0	0	0	0	0	0	0	0	3.11E+07	0	0	0	0	0	2.38E+07	0	5.77E+07	
sp|B2RUZ4|SMIM1_HUMAN	B2RUZ4	SMIM1_HUMAN	SMIM1	78	Homo sapiens OX=9606	1:Experimental evidence at protein level	Small integral membrane protein 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|B3KU38|IQIP1_HUMAN	B3KU38	IQIP1_HUMAN	IQCJ-SCHIP1	563	Homo sapiens OX=9606	1:Experimental evidence at protein level	IQCJ-SCHIP1 readthrough transcript protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.56E+07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.10E+08	sp|P0DPB3|SCHI1_HUMAN
sp|B4DXR9|ZN732_HUMAN	B4DXR9	ZN732_HUMAN	ZNF732	585	Homo sapiens OX=9606	2:Experimental evidence at transcript level	Zinc finger protein 732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|B7ZAQ6|GPHRA_HUMAN	B7ZAQ6	GPHRA_HUMAN	GPR89A	455	Homo sapiens OX=9606	1:Experimental evidence at protein level	Golgi pH regulator A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sp|P0CG08|GPHRB_HUMAN
sp|C4AMC7|WASH3_HUMAN	C4AMC7	WASH3_HUMAN	WASH3P	463	Homo sapiens OX=9606	1:Experimental evidence at protein level	Putative WAS protein family homolog 3	0	2.32E+07	2.16E+07	0	0	0	0	0	0	0	0	0	0	0	0	4.04E+07	3.90E+07	2.54E+07	2.05E+07	0	0	4.23E+07	0	0	0	0	0	0	0	0	0	0	2.06E+07	0	0	0	sp|Q6VEQ5|WASH2_HUMAN
sp|C9JI98|TM238_HUMAN	C9JI98	TM238_HUMAN	TMEM238	176	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transmembrane protein 238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|C9JLW8|MCRI1_HUMAN	C9JLW8	MCRI1_HUMAN	MCRIP1	97	Homo sapiens OX=9606	1:Experimental evidence at protein level	Mapk-regulated corepressor-interacting protein 1	6.76E+07	4.86E+07	3.13E+07	5.25E+07	0	7.10E+07	6.58E+07	1.17E+08	6.23E+07	4.71E+07	3.97E+07	4.11E+07	5.93E+07	6.05E+07	4.12E+07	7.45E+07	9.19E+07	7.42E+07	7.26E+07	7.46E+07	3.73E+07	3.98E+07	8.27E+07	8.59E+07	8.75E+07	4.58E+07	1.25E+08	1.03E+08	9.07E+07	5.27E+07	5.67E+07	6.71E+07	7.37E+07	6.47E+07	9.95E+07	1.25E+08	
sp|E9PAV3|NACAM_HUMAN	E9PAV3	NACAM_HUMAN	NACA	2078	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Nascent polypeptide-associated complex subunit alpha, muscle-specific form"	1.12E+09	1.30E+09	1.39E+09	9.50E+08	9.74E+08	1.12E+09	1.09E+09	1.38E+09	8.53E+08	1.51E+09	1.34E+09	1.24E+09	1.10E+09	9.54E+08	9.61E+08	1.30E+09	1.17E+09	1.06E+09	1.70E+09	1.25E+09	8.52E+08	1.10E+09	1.49E+09	1.10E+09	1.06E+09	7.20E+08	1.39E+09	1.35E+09	1.06E+09	8.75E+08	6.98E+08	1.04E+09	1.20E+09	1.04E+09	9.28E+08	1.51E+09	
sp|E9PRG8|CK098_HUMAN	E9PRG8	CK098_HUMAN	C11orf98	123	Homo sapiens OX=9606	4:Protein predicted	Uncharacterized protein C11orf98	1.00E+08	4.70E+07	1.01E+08	3.78E+08	3.32E+08	1.14E+08	3.96E+08	1.05E+08	3.87E+08	7.87E+07	6.39E+07	1.05E+08	1.12E+08	0	1.84E+08	1.91E+08	0	1.56E+08	0	1.29E+08	2.33E+08	8.83E+07	6.11E+07	9.76E+07	6.92E+07	4.29E+08	1.96E+08	1.73E+08	3.11E+08	9.88E+07	3.76E+08	3.18E+08	1.46E+08	2.90E+08	3.63E+08	6.06E+07	
sp|L0R6Q1|S35U4_HUMAN	L0R6Q1	S35U4_HUMAN	SLC35A4	103	Homo sapiens OX=9606	3:Protein inferred from homology	SLC35A4 upstream open reading frame protein	6.82E+07	7.03E+07	7.26E+07	4.24E+07	3.68E+07	4.25E+07	3.30E+07	6.09E+07	3.85E+07	6.67E+07	9.62E+07	5.63E+07	7.15E+07	6.35E+07	4.93E+07	6.48E+07	9.38E+07	5.86E+07	1.44E+08	9.94E+07	6.59E+07	1.10E+08	1.28E+08	4.93E+07	0	0	5.03E+07	4.80E+07	4.65E+07	7.58E+07	0	0	3.35E+07	3.46E+07	4.71E+07	8.11E+07	
sp|L0R819|ASURF_HUMAN	L0R819	ASURF_HUMAN	ASDURF	96	Homo sapiens OX=9606	1:Experimental evidence at protein level	ASNSD1 upstream open reading frame protein	0	6.00E+07	5.36E+07	0	0	3.86E+07	0	6.50E+07	0	8.94E+07	8.34E+07	8.35E+07	0	2.96E+07	0	0	5.72E+07	3.91E+07	7.30E+07	6.65E+07	0	5.20E+07	6.77E+07	6.35E+07	0	0	0	5.05E+07	0	0	0	0	0	3.25E+07	0	6.58E+07	
sp|L0R8F8|MIDUO_HUMAN	L0R8F8	MIDUO_HUMAN	MIEF1	70	Homo sapiens OX=9606	1:Experimental evidence at protein level	MIEF1 upstream open reading frame protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.40E+07	0	4.33E+07	0	0	0	0	0	
sp|O00115|DNS2A_HUMAN	O00115	DNS2A_HUMAN	DNASE2	360	Homo sapiens OX=9606	1:Experimental evidence at protein level	Deoxyribonuclease-2-alpha	5.92E+07	0	0	3.04E+08	2.93E+08	3.53E+08	4.03E+08	6.20E+08	4.51E+08	0	4.80E+07	0	2.94E+08	3.50E+08	3.36E+08	6.24E+08	8.52E+08	6.58E+08	8.20E+07	0	0	0	6.80E+07	2.75E+08	1.69E+08	1.57E+08	5.42E+08	5.24E+08	5.09E+08	7.22E+07	3.78E+08	3.15E+08	3.18E+08	3.10E+08	5.27E+08	6.55E+08	
sp|O00116|ADAS_HUMAN	O00116	ADAS_HUMAN	AGPS	658	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Alkyldihydroxyacetonephosphate synthase, peroxisomal"	1.42E+08	1.64E+08	2.50E+08	1.96E+08	2.28E+08	2.19E+08	2.68E+08	1.62E+08	3.19E+08	2.00E+08	2.08E+08	2.16E+08	2.80E+08	3.07E+08	2.82E+08	2.25E+08	1.42E+08	2.00E+08	2.37E+08	2.62E+08	3.98E+08	3.37E+08	2.52E+08	1.86E+08	2.18E+08	2.14E+08	1.64E+08	1.59E+08	2.18E+08	2.35E+08	2.13E+08	2.06E+08	2.25E+08	2.02E+08	2.62E+08	1.19E+08	
sp|O00124|UBXN8_HUMAN	O00124	UBXN8_HUMAN	UBXN8	270	Homo sapiens OX=9606	1:Experimental evidence at protein level	UBX domain-containing protein 8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|O00139|KIF2A_HUMAN	O00139	KIF2A_HUMAN	KIF2A	706	Homo sapiens OX=9606	1:Experimental evidence at protein level	Kinesin-like protein KIF2A	0	0	3.61E+07	5.54E+07	4.20E+07	0	4.24E+07	0	3.74E+07	2.47E+07	2.29E+07	1.54E+07	3.52E+07	0	4.84E+07	2.31E+07	0	3.01E+07	3.76E+07	3.02E+07	5.04E+07	2.67E+07	0	0	0	5.09E+07	0	0	0	6.04E+07	4.65E+07	3.36E+07	3.36E+07	4.85E+07	4.34E+07	0	
sp|O00148|DX39A_HUMAN	O00148	DX39A_HUMAN	DDX39A	427	Homo sapiens OX=9606	1:Experimental evidence at protein level	ATP-dependent RNA helicase DDX39A	0	3.64E+07	6.98E+07	7.20E+07	9.38E+07	9.11E+07	1.19E+08	5.07E+07	8.76E+07	0	5.37E+07	0	1.86E+08	1.51E+08	1.81E+08	1.00E+08	0	1.33E+08	3.37E+07	0	0	3.77E+07	0	1.18E+08	1.16E+08	7.77E+07	6.35E+07	0	0	2.67E+07	7.60E+07	8.91E+07	9.47E+07	7.25E+07	5.34E+07	0	
sp|O00151|PDLI1_HUMAN	O00151	PDLI1_HUMAN	PDLIM1	329	Homo sapiens OX=9606	1:Experimental evidence at protein level	PDZ and LIM domain protein 1	7.30E+08	6.37E+08	5.15E+08	1.67E+08	1.63E+08	3.08E+08	2.49E+08	4.23E+08	2.48E+08	6.59E+08	6.69E+08	6.36E+08	2.32E+08	2.29E+08	2.33E+08	3.33E+08	4.16E+08	3.21E+08	7.39E+08	6.78E+08	4.62E+08	5.43E+08	7.53E+08	6.83E+08	6.11E+08	3.84E+08	7.67E+08	7.93E+08	6.57E+08	4.65E+08	4.21E+08	4.56E+08	4.84E+08	4.52E+08	5.99E+08	7.97E+08	
sp|O00154|BACH_HUMAN	O00154	BACH_HUMAN	ACOT7	380	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cytosolic acyl coenzyme A thioester hydrolase	8.99E+07	1.38E+08	2.84E+08	1.65E+08	1.81E+08	1.60E+08	1.97E+08	8.31E+07	1.66E+08	2.05E+08	2.28E+08	1.73E+08	1.62E+08	1.36E+08	1.42E+08	1.44E+08	0	1.28E+08	3.16E+08	1.58E+08	4.06E+08	3.86E+08	3.06E+08	2.11E+08	1.42E+08	2.44E+08	1.43E+08	1.26E+08	1.31E+08	4.54E+08	1.61E+08	1.48E+08	1.63E+08	1.42E+08	1.16E+08	5.74E+07	
sp|O00159|MYO1C_HUMAN	O00159	MYO1C_HUMAN	MYO1C	1063	Homo sapiens OX=9606	1:Experimental evidence at protein level	Unconventional myosin-Ic	6.31E+07	1.13E+08	2.42E+08	1.45E+08	1.39E+08	0	9.91E+07	0	9.55E+07	1.26E+08	1.53E+08	1.25E+08	6.97E+07	0	8.74E+07	1.22E+08	0	1.12E+08	1.75E+08	1.29E+08	2.73E+08	2.48E+08	1.62E+08	0	0	2.66E+08	9.52E+07	9.97E+07	1.05E+08	2.57E+08	1.38E+08	1.61E+08	7.95E+07	1.60E+08	1.13E+08	6.24E+07	
sp|O00161|SNP23_HUMAN	O00161	SNP23_HUMAN	SNAP23	211	Homo sapiens OX=9606	1:Experimental evidence at protein level	Synaptosomal-associated protein 23	1.07E+08	6.90E+07	2.55E+07	6.85E+07	6.18E+07	6.86E+07	9.21E+07	1.41E+08	8.21E+07	9.29E+07	2.53E+07	9.65E+07	6.64E+07	6.85E+07	6.84E+07	7.88E+07	1.15E+08	0	7.59E+07	9.43E+07	9.03E+07	7.81E+07	8.27E+07	7.46E+07	6.50E+07	0	1.31E+08	1.25E+08	9.01E+07	1.11E+08	7.14E+07	7.00E+07	7.54E+07	6.06E+07	6.95E+07	1.30E+08	
sp|O00165|HAX1_HUMAN	O00165	HAX1_HUMAN	HAX1	279	Homo sapiens OX=9606	1:Experimental evidence at protein level	HCLS1-associated protein X-1	5.45E+07	1.71E+07	1.07E+07	2.31E+07	2.75E+07	3.12E+07	5.14E+07	3.19E+07	3.05E+07	2.47E+07	1.98E+07	0	4.95E+07	4.77E+07	4.00E+07	8.16E+07	9.42E+07	4.89E+07	0	1.95E+07	2.98E+07	1.95E+07	3.17E+07	1.88E+07	1.52E+07	0	7.00E+07	4.41E+07	2.34E+07	1.86E+07	0	3.03E+07	4.20E+07	1.27E+07	0	2.44E+07	
sp|O00170|AIP_HUMAN	O00170	AIP_HUMAN	AIP	330	Homo sapiens OX=9606	1:Experimental evidence at protein level	AH receptor-interacting protein	2.38E+08	2.42E+08	1.86E+08	2.78E+08	2.70E+08	3.19E+08	3.01E+08	5.03E+08	3.03E+08	2.66E+08	2.67E+08	2.83E+08	2.89E+08	3.21E+08	2.75E+08	3.64E+08	4.64E+08	3.63E+08	3.25E+08	2.92E+08	2.63E+08	3.25E+08	3.13E+08	3.29E+08	2.91E+08	2.03E+08	4.17E+08	4.35E+08	3.60E+08	3.09E+08	2.61E+08	2.91E+08	3.24E+08	3.00E+08	3.13E+08	5.31E+08	
sp|O00178|GTPB1_HUMAN	O00178	GTPB1_HUMAN	GTPBP1	669	Homo sapiens OX=9606	1:Experimental evidence at protein level	GTP-binding protein 1	0	0	3.37E+07	4.63E+07	0	0	0	0	0	0	2.38E+07	0	3.67E+07	0	0	0	0	0	0	0	0	0	1.90E+07	0	0	2.97E+07	0	0	0	0	0	2.37E+07	0	0	0	0	
sp|O00182|LEG9_HUMAN	O00182	LEG9_HUMAN	LGALS9	355	Homo sapiens OX=9606	1:Experimental evidence at protein level	Galectin-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|O00186|STXB3_HUMAN	O00186	STXB3_HUMAN	STXBP3	592	Homo sapiens OX=9606	1:Experimental evidence at protein level	Syntaxin-binding protein 3	0	0	1.86E+07	3.38E+07	3.40E+07	2.34E+07	0	0	2.61E+07	0	1.62E+07	0	2.94E+07	2.73E+07	2.99E+07	2.19E+07	0	2.06E+07	0	0	0	3.33E+07	0	2.70E+07	0	2.75E+07	0	0	0	3.72E+07	3.37E+07	0	3.09E+07	2.78E+07	0	0	
sp|O00192|ARVC_HUMAN	O00192	ARVC_HUMAN	ARVCF	962	Homo sapiens OX=9606	1:Experimental evidence at protein level	Splicing regulator ARVCF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|O00193|SMAP_HUMAN	O00193	SMAP_HUMAN	SMAP	183	Homo sapiens OX=9606	1:Experimental evidence at protein level	Small acidic protein	8.99E+08	6.89E+08	5.34E+08	2.75E+08	1.94E+08	2.94E+08	2.55E+08	4.36E+08	2.79E+08	7.42E+08	7.34E+08	7.40E+08	3.13E+08	3.00E+08	2.90E+08	3.39E+08	3.91E+08	3.19E+08	3.90E+08	4.35E+08	2.98E+08	3.12E+08	3.93E+08	3.12E+08	0	2.70E+08	3.46E+08	4.10E+08	3.19E+08	3.49E+08	1.81E+08	3.06E+08	2.57E+08	2.39E+08	2.55E+08	4.27E+08	
sp|O00194|RB27B_HUMAN	O00194	RB27B_HUMAN	RAB27B	218	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ras-related protein Rab-27B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.98E+07	0	0	0	0	4.40E+07	0	0	0	0	0	0	0	6.19E+07	0	0	0	0	0	0	
sp|O00203|AP3B1_HUMAN	O00203	AP3B1_HUMAN	AP3B1	1094	Homo sapiens OX=9606	1:Experimental evidence at protein level	AP-3 complex subunit beta-1	0	2.53E+07	6.66E+07	6.95E+07	7.22E+07	2.68E+07	5.44E+07	0	5.32E+07	3.19E+07	4.08E+07	0	4.92E+07	3.59E+07	5.62E+07	4.96E+07	0	7.18E+07	4.43E+07	0	7.10E+07	7.49E+07	4.90E+07	0	2.34E+07	1.17E+08	0	1.78E+07	4.01E+07	9.17E+07	5.11E+07	5.26E+07	3.34E+07	5.89E+07	4.39E+07	0	
sp|O00204|ST2B1_HUMAN	O00204	ST2B1_HUMAN	SULT2B1	365	Homo sapiens OX=9606	1:Experimental evidence at protein level	Sulfotransferase 2B1	0	0	0	6.18E+07	6.32E+07	7.68E+07	6.84E+07	1.02E+08	5.79E+07	0	0	0	6.83E+07	7.76E+07	6.31E+07	8.29E+07	1.19E+08	1.03E+08	0	0	0	0	0	9.21E+07	1.02E+08	6.36E+07	1.34E+08	1.33E+08	1.15E+08	0	7.18E+07	8.84E+07	1.05E+08	9.19E+07	7.45E+07	1.59E+08	
sp|O00213|APBB1_HUMAN	O00213	APBB1_HUMAN	APBB1	710	Homo sapiens OX=9606	1:Experimental evidence at protein level	Amyloid beta precursor protein binding family B member 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|O00214|LEG8_HUMAN	O00214	LEG8_HUMAN	LGALS8	317	Homo sapiens OX=9606	1:Experimental evidence at protein level	Galectin-8	0	0	6.69E+07	0	4.01E+07	0	0	0	0	5.71E+07	4.98E+07	7.29E+07	0	0	0	0	0	0	0	0	0	7.62E+07	0	0	0	6.20E+07	0	4.97E+07	0	0	0	4.90E+07	0	5.55E+07	0	0	
sp|O00217|NDUS8_HUMAN	O00217	NDUS8_HUMAN	NDUFS8	210	Homo sapiens OX=9606	1:Experimental evidence at protein level	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial"	1.04E+08	1.13E+08	8.95E+07	1.27E+08	1.17E+08	1.27E+08	1.40E+08	2.26E+08	1.24E+08	1.12E+08	1.03E+08	0	1.50E+08	1.62E+08	1.47E+08	1.87E+08	2.19E+08	1.50E+08	1.18E+08	7.80E+07	0	0	1.04E+08	0	8.85E+07	5.67E+07	1.30E+08	1.25E+08	1.28E+08	1.07E+08	8.58E+07	1.05E+08	1.08E+08	9.37E+07	1.13E+08	1.91E+08	
sp|O00220|TR10A_HUMAN	O00220	TR10A_HUMAN	TNFRSF10A	468	Homo sapiens OX=9606	1:Experimental evidence at protein level	Tumor necrosis factor receptor superfamily member 10A	8.04E+07	5.83E+07	4.54E+07	0	0	0	0	0	0	7.65E+07	6.40E+07	0	0	0	0	0	0	0	7.33E+07	8.01E+07	4.94E+07	7.84E+07	7.50E+07	0	0	0	0	0	0	5.69E+07	0	0	0	0	0	0	
sp|O00221|IKBE_HUMAN	O00221	IKBE_HUMAN	NFKBIE	500	Homo sapiens OX=9606	1:Experimental evidence at protein level	NF-kappa-B inhibitor epsilon	6.05E+07	5.00E+07	3.03E+07	0	0	0	0	4.01E+07	0	4.67E+07	4.90E+07	6.42E+07	1.87E+07	0	0	2.74E+07	5.10E+07	0	1.07E+08	1.31E+08	0	1.04E+08	0	0	0	0	0	0	0	1.10E+08	0	0	0	0	0	0	
sp|O00231|PSD11_HUMAN	O00231	PSD11_HUMAN	PSMD11	422	Homo sapiens OX=9606	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 11	3.28E+08	6.52E+08	8.05E+08	4.90E+08	4.77E+08	4.89E+08	3.89E+08	4.29E+08	3.72E+08	5.44E+08	6.71E+08	4.45E+08	5.27E+08	5.21E+08	5.19E+08	4.05E+08	2.59E+08	4.49E+08	5.46E+08	2.80E+08	4.54E+08	5.39E+08	5.46E+08	6.04E+08	6.07E+08	4.89E+08	4.78E+08	4.56E+08	3.32E+08	5.21E+08	2.89E+08	4.93E+08	5.54E+08	5.19E+08	2.65E+08	4.04E+08	
sp|O00232|PSD12_HUMAN	O00232	PSD12_HUMAN	PSMD12	456	Homo sapiens OX=9606	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 12	6.25E+07	9.33E+07	2.95E+08	2.07E+08	2.22E+08	1.74E+08	1.64E+08	0	1.93E+08	1.26E+08	1.92E+08	1.27E+08	2.54E+08	2.29E+08	2.33E+08	1.48E+08	0	1.79E+08	1.06E+08	7.34E+07	1.53E+08	1.86E+08	1.08E+08	1.97E+08	2.67E+08	2.64E+08	1.06E+08	8.21E+07	1.42E+08	1.78E+08	1.88E+08	1.98E+08	1.92E+08	2.07E+08	1.27E+08	5.97E+07	
sp|O00233|PSMD9_HUMAN	O00233	PSMD9_HUMAN	PSMD9	223	Homo sapiens OX=9606	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 9	2.40E+08	2.31E+08	1.83E+08	1.25E+08	1.26E+08	1.53E+08	1.38E+08	2.10E+08	1.33E+08	2.65E+08	2.44E+08	2.77E+08	9.78E+07	1.08E+08	1.24E+08	1.78E+08	2.20E+08	1.85E+08	1.78E+08	1.92E+08	1.24E+08	1.54E+08	1.81E+08	1.23E+08	1.06E+08	9.76E+07	1.86E+08	1.87E+08	2.03E+08	1.85E+08	1.62E+08	1.29E+08	1.32E+08	1.43E+08	1.92E+08	2.43E+08	
sp|O00244|ATOX1_HUMAN	O00244	ATOX1_HUMAN	ATOX1	68	Homo sapiens OX=9606	1:Experimental evidence at protein level	Copper transport protein ATOX1	5.57E+08	8.11E+08	5.26E+08	2.46E+08	2.49E+08	3.03E+08	3.48E+08	4.21E+08	2.10E+08	8.23E+08	7.85E+08	6.56E+08	2.32E+08	3.31E+08	2.42E+08	5.34E+08	5.36E+08	4.19E+08	6.63E+08	4.61E+08	3.98E+08	6.88E+08	6.51E+08	1.90E+08	2.12E+08	1.72E+08	3.11E+08	3.13E+08	2.15E+08	5.23E+08	2.62E+08	2.42E+08	2.52E+08	2.82E+08	3.17E+08	5.24E+08	
sp|O00255|MEN1_HUMAN	O00255	MEN1_HUMAN	MEN1	615	Homo sapiens OX=9606	1:Experimental evidence at protein level	Menin	0	0	0	0	0	0	2.63E+07	0	0	0	0	0	3.58E+07	0	4.17E+07	0	0	0	0	0	0	0	0	2.69E+07	0	0	0	0	0	0	0	0	0	0	0	0	
sp|O00257|CBX4_HUMAN	O00257	CBX4_HUMAN	CBX4	560	Homo sapiens OX=9606	1:Experimental evidence at protein level	E3 SUMO-protein ligase CBX4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|O00264|PGRC1_HUMAN	O00264	PGRC1_HUMAN	PGRMC1	195	Homo sapiens OX=9606	1:Experimental evidence at protein level	Membrane-associated progesterone receptor component 1	8.26E+08	6.18E+08	4.59E+08	1.84E+09	1.51E+09	2.08E+09	2.87E+09	4.33E+09	2.69E+09	6.18E+08	6.58E+08	7.24E+08	2.75E+09	2.43E+09	2.63E+09	3.70E+09	3.73E+09	3.30E+09	5.41E+08	5.41E+08	4.63E+08	5.34E+08	5.19E+08	1.53E+09	1.33E+09	7.93E+08	2.45E+09	2.55E+09	2.18E+09	5.35E+08	1.65E+09	1.16E+09	1.34E+09	1.14E+09	2.52E+09	2.84E+09	
