Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-11-2024_Slot1-36_3577.d	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-11-2024_Slot1-37_3579.d	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-13-2024_Slot1-38_3611.d	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-13-2024_Slot1-39_3612.d	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-13-2024_Slot1-40_3614.d	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-13-2024_Slot1-41_3615.d	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-13-2024_Slot1-42_3617.d
A0A8I6A1U9	A0A8I6A1U9	A0A8I6A1U9_RAT	Or5w18	Olfactory receptor							131.04
A0A8I6A254	A0A8I6A254	A0A8I6A254_RAT	Mrpl15	Large ribosomal subunit protein uL15m			416.874				247.217
A0A8I6A263	A0A8I6A263	A0A8I6A263_RAT	Aimp1	Aminoacyl tRNA synthetase complex-interacting multifunctional protein 1			470.192	322.664		865.829	239.308
A0A8I6A272	A0A8I6A272	A0A8I6A272_RAT	Raph1	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1	749.192		244.125	640.207		336.137	273.229
A0A8I6A2A6;F1M5A4	F1M5A4;A0A8I6A2A6	A0A8I6A2A6_RAT;F1M5A4_RAT	Afg2a;Katnal2	Spermatogenesis associated 5			334.876	929.784		152.488	400.726
A0A8I6A2D9	A0A8I6A2D9	A0A8I6A2D9_RAT	Foxk2	Forkhead box K2							202.201
A0A8I6A2I4	A0A8I6A2I4	A0A8I6A2I4_RAT	ENSRNOG00000063241	Arrestin C-terminal-like domain-containing protein	711.379		522.365	770.8		1056.74	1174.04
A0A8I6A2W1	A0A8I6A2W1;A0A8I6A7P3;A0A8I6AFW8;G3V9C7	A0A8I6A2W1_RAT	ENSRNOG00000066901	Histone H2B	2915.75		3715.69	2218.9		1217.96	6262.03
A0A8I6A2Y2	A0A8I6A2Y2	A0A8I6A2Y2_RAT	Srrm2	Serine/arginine repetitive matrix 2	2592.32		2042.26	1305.27	2038.94	1416.12	1722.13
A0A8I6A3R6	A0A8I6A3R6	A0A8I6A3R6_RAT	Arl9	ADP-ribosylation factor like GTPase 9	4352.28	1395.73	5269.77	1292.6	1026.71	2742.98	3396.3
A0A8I6A3Z5	A0A8I6A3Z5	A0A8I6A3Z5_RAT	Uba2	SUMO-activating enzyme subunit 2	403.854		649.97	767.165		694.073	428.506
A0A8I6A412	A0A8I6A412	A0A8I6A412_RAT	Wdr46	WD repeat domain 46							60.4514
A0A8I6A4G0	A0A8I6A4G0	A0A8I6A4G0_RAT	Tns1	Tensin 1							234.745
A0A8I6A4I6	A0A8I6A4I6	A0A8I6A4I6_RAT	ENSRNOG00000067246	RRM domain-containing protein							28.6022
A0A8I6A4J8	A0A8I6A4J8	A0A8I6A4J8_RAT	Anapc1	Anaphase promoting complex subunit 1	150.479			624.893			202.369
A0A8I6A4K6	A0A8I6A4K6	A0A8I6A4K6_RAT	Psmg1	Proteasome assembly chaperone 1						83.3014	127.488
A0A8I6A4L1	A0A8I6A4L1	A0A8I6A4L1_RAT	Mycbp2	RCR-type E3 ubiquitin transferase						979.982	215.978
A0A8I6A4W2	A0A8I6A4W2	A0A8I6A4W2_RAT	Ktn1	Kinectin 1	607.925				542.457		643.338
A0A8I6A5D0;A0A8I6GGB1	A0A8I6GGB1;A0A8I6A5D0	A0A8I6A5D0_RAT;A0A8I6GGB1_RAT	ENSRNOG00000068710;LOC120097578	Zinc knuckle domain-containing protein							367.316
A0A8I6A5F2	A0A8I6A5F2	A0A8I6A5F2_RAT	Sun1	Sad1 and UNC84 domain containing 1							200.238
A0A8I6A5G9	A0A8I6A5G9	A0A8I6A5G9_RAT	Gm2a	GM2 ganglioside activator			289.128				445.335
A0A8I6A5S6	A0A8I6A5S6	A0A8I6A5S6_RAT	AABR07004876.1	Ubiquitin-like protein FUBI-like	1798.45		4083.16	2915.93		3387.5	6719.04
A0A8I6A5U2	A0A8I6A5U2	A0A8I6A5U2_RAT	Dnajb2	DnaJ heat shock protein family (Hsp40) member B2							114.684
A0A8I6A5W7	A0A8I6A5W7	A0A8I6A5W7_RAT	Ccdc88a	Coiled coil domain containing 88A							213.212
A0A8I6A5Y0	A0A8I6A5Y0	A0A8I6A5Y0_RAT	Vta1	Vesicle trafficking 1	321.127		552.194	228.99		521.033	310.811
A0A8I6A678	A0A8I6A678	A0A8I6A678_RAT	Snx2	Sorting nexin-2	1031.22		982.937	1177.34		1080.6	869.793
A0A8I6A680	A0A8I6A680	A0A8I6A680_RAT	Soga3	SOGA family member 3	529.815					487.512	410.908
A0A8I6A6G8	A0A8I6A6G8	A0A8I6A6G8_RAT	Hm13	Histocompatibility minor 13							344.908
A0A8I6A6H8	A0A8I6A6H8	A0A8I6A6H8_RAT	Serpinb6a	Serpin family B member 6A				1267.6		691.845	259.274
A0A8I6A6K6	A0A8I6A6K6	A0A8I6A6K6_RAT	Ppp2r5d	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit	347.494		776.08				346.288
A0A8I6A6S4	A0A8I6A6S4	A0A8I6A6S4_RAT	Stim2	Stromal interaction molecule 2							169.407
A0A8I6A7A3	A0A8I6A7A3	A0A8I6A7A3_RAT	Mrtfb	Myocardin related transcription factor B							99.3063
A0A8I6A7L5	A0A8I6A7L5	A0A8I6A7L5_RAT	Tmem238	Transmembrane protein 238	377.535		265.651			3897.29	210.026
A0A8I6A7U0	A0A8I6A7U0	A0A8I6A7U0_RAT	Fkbp15	peptidylprolyl isomerase							109.541
A0A8I6A7U8;D3ZPJ1	D3ZPJ1;A0A8I6A7U8	A0A8I6A7U8_RAT;D3ZPJ1_RAT	Klhl11;LOC100910577	Zinc finger protein 709-like	352.915						253.315
A0A8I6A880	A0A8I6A880	A0A8I6A880_RAT	Pkp4	Plakophilin 4	230.073		530.031			357.731	158.506
A0A8I6A8L3	A0A8I6A8L3	A0A8I6A8L3_RAT	Dnpep	Aspartyl aminopeptidase			377.275			418.817	252.766
A0A8I6A8M8	A0A8I6A8M8	A0A8I6A8M8_RAT	ENSRNOG00000071152	Ig-like domain-containing protein	959.253		724.759			368.521	901.068
A0A8I6A935	A0A8I6A935	A0A8I6A935_RAT	ENSRNOG00000063572	Ig-like domain-containing protein							26.5592
A0A8I6A9B2	Q4V8K3;A0A8I6A9B2;A0A0G2K7P4	A0A8I6A9B2_RAT	Naa10	N-terminal amino-acid N(alpha)-acetyltransferase NatA	1082.95		546.615	627.347		486.828	544.285
A0A8I6AA08	A0A8I6AA08	A0A8I6AA08_RAT	Septin6	Septin							153.255
A0A8I6AA94	A0A8I6AA94	A0A8I6AA94_RAT	Ano6	Anoctamin	342.213		468.209		811.132	651.017	453.134
A0A8I6AAN3	A0A8I6AAN3	A0A8I6AAN3_RAT	Aldh18a1	Delta-1-pyrroline-5-carboxylate synthase	572.908		511.442	1315.2		1048.27	382.51
A0A8I6ABV9;A0A8I6B1N2;D4A9P7	A0A8I6B1N2;A0A8I6ABV9;D4A9P7	A0A8I6ABV9_RAT;A0A8I6B1N2_RAT;D4A9P7_RAT	AABR07034928.1;Bola2;LOC102553208	Ral guanine nucleotide dissociation stimulator-like	261.242					637.201	245.294
A0A8I6ABZ7	A0A8I6ABZ7	A0A8I6ABZ7_RAT	Dhx9	RNA helicase			1287.53	1304.25		1390.83	1460.48
A0A8I6ACU2	A0A8I6ACU2	A0A8I6ACU2_RAT	Ubap2l	Ubiquitin associated protein 2-like							224.675
A0A8I6ACU6	A0A8I6ACU6	A0A8I6ACU6_RAT	Glcci1	Glucocorticoid induced 1			361.349				176.274
A0A8I6ACU9	A0A8I6ACU9	A0A8I6ACU9_RAT	Timm50	Mitochondrial import inner membrane translocase subunit TIM50	762.693		371.087	658.945			309.453
A0A8I6AD55	A0A8I6AD55	A0A8I6AD55_RAT	Chchd3	Coiled-coil-helix-coiled-coil-helix domain containing 3	937.661		1852.57	554.972		790.935	580.235
A0A8I6ADE4	A0A8I6ADE4;M0R9N8	A0A8I6ADE4_RAT	ENSRNOG00000069389	WD repeat domain 12			2440.43				209.611
A0A8I6ADL2	A0A8I6ADL2	A0A8I6ADL2_RAT	ENSRNOG00000068443	HMG box domain-containing protein							71.5766
A0A8I6AE43	A0A8I6AE43	A0A8I6AE43_RAT	Erbin	Erbb2 interacting protein							100.089
A0A8I6AEG7	A0A8I6AEG7	A0A8I6AEG7_RAT	Eef1b2	Eukaryotic translation elongation factor 1 beta 2	2417.42		2574.14	2666.95	1183.16	3307.86	3748.17
A0A8I6AEU1	A0A8I6AEU1	A0A8I6AEU1_RAT	Dmbt1l1	Deleted in malignant brain tumors 1 protein	450.767			439.118		66.401	201.754
A0A8I6AF43	A0A8I6AF43	A0A8I6AF43_RAT	Hltf	Helicase-like transcription factor	1180.5					113.122	779.154
A0A8I6AH21	A0A8I6AH21	A0A8I6AH21_RAT	Mrps28	Mitochondrial ribosomal protein S28							264.264
A0A8I6AH33	A0A8I6AH33	A0A8I6AH33_RAT	Mrps11	Mitochondrial ribosomal protein S11			312.386				48.0376
A0A8I6AH39	A0A8I6AH39	A0A8I6AH39_RAT	Pck2	phosphoenolpyruvate carboxykinase (GTP)			1224.86	1213.56		1059	546.694
A0A8I6AH91	A0A8I6AH91	A0A8I6AH91_RAT	Pcbp1	Poly(rC) binding protein 1	509.477		908.218	685.969	1084.16	562.021	385.795
A0A8I6AHQ8	A0A8I6AHQ8	A0A8I6AHQ8_RAT	Blvrb	Biliverdin reductase B			296.786	553.036			516.097
A0A8I6AHR3	A0A8I6AHR3	A0A8I6AHR3_RAT	Rprd2	Regulation of nuclear pre-mRNA domain containing 2			726.536				533.602
A0A8I6AHX5	A0A8I6AHX5	A0A8I6AHX5_RAT	Aven	Apoptosis and caspase activation inhibitor							212.591
A0A8I6AJ04	A0A8I6AJ04	A0A8I6AJ04_RAT	Pithd1	PITH domain containing 1			271.668			446.373	93.384
A0A8I6AJ21	A0A8I6AJ21	A0A8I6AJ21_RAT	ENSRNOG00000063117	Nucleic acid binding protein			481.971				171.999
A0A8I6AJM0	A0A8I6AJM0	A0A8I6AJM0_RAT	Gprin1	G protein-regulated inducer of neurite outgrowth 1			825.597			392.433	300.413
A0A8I6AJV7	A0A8I6AJV7	A0A8I6AJV7_RAT	Safb2	Scaffold attachment factor B2			306.839				87.2011
A0A8I6AK45	A0A8I6AK45	A0A8I6AK45_RAT	Mtch2	Mitochondrial carrier 2	1104.47		2480.95	489.478	1138.51	1100.89	1188.42
A0A8I6AKB0	A0A8I6AKB0	A0A8I6AKB0_RAT	Asmtl	Acetylserotonin O-methyltransferase-like			301.691				184.6
A0A8I6AL75	A0A8I6AL75	A0A8I6AL75_RAT	C2h1orf52	Similar to RIKEN cDNA 2410004B18							72.5093
A0A8I6ALB1	A0A8I6ALB1	A0A8I6ALB1_RAT	Ckap5	Cytoskeleton associated protein 5			696.133				299.664
A0A8I6ALD4	A0A8I6ALD4	A0A8I6ALD4_RAT	Tjp2	Tight junction protein 2		498.389					249.613
A0A8I6ALM9	A0A8I6ALM9	A0A8I6ALM9_RAT	Ptk7	Protein tyrosine kinase 7	343.115						150.649
A0A8I6AM26	A0A8I6AM26	A0A8I6AM26_RAT	Srrt	Arsenite-resistance protein 2	574.495		510.284			409.332	430.984
A0A8I6AMN1	A0A8I6AMN1	A0A8I6AMN1_RAT	RGD1565655	Similar to BC049730 protein	588.076						238.73
A0A8I6AMS6	A0A8I6AMS6	A0A8I6AMS6_RAT	Rangap1	RAN GTPase activating protein 1	500.01		410.203			655.066	412.542
A0A8I6ANC4	A0A8I6ANC4	A0A8I6ANC4_RAT	Coro1c	Coronin	1433.27		1114.5	698.333		1012.62	536.371
A0A8I6AP41	A0A8I6AP41	A0A8I6AP41_RAT	Nbea	Neurobeachin							360.561
A0A8I6APL1	A0A8I6APL1	A0A8I6APL1_RAT	Flywch2	FLYWCH family member 2							132.272
A0A8I6AQR3	A0A8I6AQR3	A0A8I6AQR3_RAT	Tmem263	Transmembrane protein 263	999.799		605.792	755.885		752.125	357.767
A0A8I6AR12	A0A8I6AR12	A0A8I6AR12_RAT	Cct7	T-complex protein 1 subunit eta	3109.61	563.392	4316.04	5236.66		5917.62	3651.46
A0A8I6ARU6	A0A8I6ARU6	A0A8I6ARU6_RAT	Galk1	Galactokinase 1	1161.69		2353.32	593.929		2485.47	676.646
A0A8I6ARV9	A0A8I6ARV9	A0A8I6ARV9_RAT	Ctsa	Carboxypeptidase	2413.99	577.426	936.08	2132.08		938.388	1234.21
A0A8I6AS56	A0A8I6AS56	A0A8I6AS56_RAT	Abhd11	Abhydrolase domain containing 11							307.67
A0A8I6ASS6	A0A8I6ASS6	A0A8I6ASS6_RAT	AC098459.1	L-lactate dehydrogenase	1201.19		2605.12	730.243		4225.13	2225.57
A0A8I6ATS8	A0A8I6ATS8	A0A8I6ATS8_RAT	LOC102547850	15 kDa interferon-responsive protein-like							42.22
A0A8I6ATU9	A0A8I6ATU9	A0A8I6ATU9_RAT	Atxn2	Ataxin 2	893.962		183.519			658.091	334.626
A0A8I6AU26	A0A8I6AU26	A0A8I6AU26_RAT	Galnt2	Polypeptide N-acetylgalactosaminyltransferase			164.05	1029.85			233.189
A0A8I6AUH3	A0A8I6AUH3	A0A8I6AUH3_RAT	Ddx50	RNA helicase							60.2116
A0A8I6AV53	A0A8I6AV53	A0A8I6AV53_RAT	Mrpl18	Mitochondrial ribosomal protein L18							261.913
A0A8I6AVM8	A0A8I6AVM8	A0A8I6AVM8_RAT	Lnpk	Endoplasmic reticulum junction formation protein lunapark	790.703		1493.57			504.11	677.765
A0A8I6AVP3;A0A8I6GI64	A0A8I6AVP3;A0A8I6GI64	A0A8I6AVP3_RAT;A0A8I6GI64_RAT	LOC120102904;Lad1	Ladinin-1-like							105.315
A0A8I6AW56	A0A8I6AW56	A0A8I6AW56_RAT	Maff	MAF bZIP transcription factor F			721.48			190.55	108.189
A0A8I6AW91	A0A8I6AW91	A0A8I6AW91_RAT	Srp72	Signal recognition particle subunit SRP72							243.64
A0A8I6B0E2	A0A8I6B0E2	A0A8I6B0E2_RAT	ENSRNOG00000069260	Cytosol aminopeptidase domain-containing protein	481.121		320.469	1611.03		1011.81	497.813
A0A8I6B100	A0A8I6B100	A0A8I6B100_RAT	LOC120101567	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7	448.847		203.943				85.9136
A0A8I6B3N0	A0A8I6B3N0	A0A8I6B3N0_RAT	Spag9	Sperm associated antigen 9							184.473
A0A8I6B3N3	A0A8I6B3N3	A0A8I6B3N3_RAT	Atp6v1g1	V-type proton ATPase subunit G	869.302					1201.92	611.387
A0A8I6G3R2	A0A8I6G3R2	A0A8I6G3R2_RAT	Cbl	E3 ubiquitin-protein ligase CBL				186.246	2717.21		236.615
A0A8I6G3X2;D3ZXR6	D3ZXR6;A0A8I6G3X2	A0A8I6G3X2_RAT;D3ZXR6_RAT	LOC100362611;Rbis	Ribosomal biogenesis factor							148.647
A0A8I6G475	A0A8I6G475	A0A8I6G475_RAT	ENSRNOG00000067245	Uncharacterized protein	1764.76		988.145				662.74
A0A8I6G5W4	A0A8I6G5W4	A0A8I6G5W4_RAT	Snrnp70	U1 small nuclear ribonucleoprotein 70 kDa	418.191			321.404			602.227
A0A8I6G641	A0A8I6G641	A0A8I6G641_RAT	Ep300	histone acetyltransferase	303.963						46.2258
A0A8I6G6W8	A0A8I6AGW8;A0A8I6G6W8	A0A8I6G6W8_RAT	Prrc2c	Proline-rich coiled-coil 2C	944.921		717.474			412.28	279.021
A0A8I6G7I2	A0A8I6G7I2	A0A8I6G7I2_RAT	Sf1	Splicing factor 1			558.512				725.626
A0A8I6G7W2	A0A8I6G7W2	A0A8I6G7W2_RAT	ENSRNOG00000064805	60S ribosomal protein L21				197.218		246.017	659.871
A0A8I6G9Y8	A0A8I6G9Y8	A0A8I6G9Y8_RAT	AABR07068905.1	Uncharacterized protein	1494.42		1115.47	693.726	627.403	1744.66	1640.9
A0A8I6GAE6	A0A8I6GAE6	A0A8I6GAE6_RAT	Ddx19b	RNA helicase				344.457		348.517	181.436
A0A8I6GE67;A0A8I6GKI8	A0A8I6GKI8;A0A8I6GE67	A0A8I6GE67_RAT;A0A8I6GKI8_RAT	ENSRNOG00000063066;Pin4	Peptidyl-prolyl cis-trans isomerase							46.5957
A0A8I6GEL5	A0A8I6GEL5	A0A8I6GEL5_RAT	Rps7-ps23	40S ribosomal protein S7							179.073
A0A8I6GFD8	A0A8I6GFD8	A0A8I6GFD8_RAT	Sfpq	Splicing factor proline and glutamine rich	2539.08	243.251	2411.28	778.698	2735.95	1298.93	2448
A0A8I6GFP5	A0A8I6GFP5	A0A8I6GFP5_RAT	AC106663.1	Protein MIX23	204.778						86.3958
A0A8I6GGS8	A0A8I6GGS8	A0A8I6GGS8_RAT	Twf1-ps1	ADF-H domain-containing protein	510.746		514.438				503.362
A0A8I6GGV1	A0A8I6GGV1	A0A8I6GGV1_RAT	Or8b44	Olfactory receptor				366.775			65.4897
A0A8I6GH88	A0A8I6GH88	A0A8I6GH88_RAT	Fkbp2	peptidylprolyl isomerase	503.735		344.757	126.062	563.316	440.481	435.043
A0A8I6GI04	A0A8I6GI04	A0A8I6GI04_RAT	Or52n5-ps1	Olfactory receptor	1006.76						246.404
A0A8I6GI92;Q6MGC4	Q6MGC4;A0A8I6GI92	A0A8I6GI92_RAT;Q6MGC4_RAT	ENSRNOG00000064882;Pfdn6	Prefoldin subunit 6	1109.19					200.4	1431.33
A0A8I6GJ11	A0A8I6GJ11	A0A8I6GJ11_RAT	Acss2	propionate--CoA ligase							525.959
A0A8I6GJ92	A0A8I6GJ92	A0A8I6GJ92_RAT	Eprs1	Glutamyl-prolyl-tRNA synthetase				2065.57			140.389
A0A8I6GJC5	A0A8I6GJC5	A0A8I6GJC5_RAT	Reps1	RALBP1 associated Eps domain containing 1							78.5842
A0A8I6GJG8	A0A8I6GJG8	A0A8I6GJG8_RAT	Inpp1	Inositol polyphosphate-1-phosphatase							63.6
A0A8I6GJV2	A0A8I6GJV2	A0A8I6GJV2_RAT	Stfa2l2	Stefin A2-like 2	429.602		588.288				242.593
A0A8I6GK62	A0A8I6GK62	A0A8I6GK62_RAT	Lemd3	LEM domain containing 3							173.762
A0A8I6GKH8	A0A8I6GKH8	A0A8I6GKH8_RAT	Map7	Microtubule-associated protein 7						458.865	271.313
A0A8I6GKK1;D3ZPD0	A0A8I6GKK1;D3ZPD0	A0A8I6GKK1_RAT;D3ZPD0_RAT	Ckap2;ENSRNOG00000065112	Cytoskeleton-associated protein 2 C-terminal domain-containing protein			687.395				125.333
A0A8I6GKZ7	A0A8I6GKZ7	A0A8I6GKZ7_RAT	Tent4b	Terminal nucleotidyltransferase 4B			1204.56	2167.52		2172.99	76.3933
A0A8I6GLQ3	A0A8I6GLQ3	A0A8I6GLQ3_RAT	Prpf31	U4/U6 small nuclear ribonucleoprotein Prp31	203.684						136.423
A0A8I6GLU8	A0A8I6GLU8	A0A8I6GLU8_RAT	Tardbp	TAR DNA-binding protein 43	846.331		1482.46		455.462	2021.76	1141.67
A0A8I6GM11	A0A8I6GM11	A0A8I6GM11_RAT	Lsm12	LSM12 homolog	363.882		308.774	440.062		623.363	354.538
A0A8J8XB26	A0A8J8XB26	A0A8J8XB26_RAT	Srsf10	Serine and arginine rich splicing factor 10							159.953
A0A8J8XIU8	A0A8J8XIU8	A0A8J8XIU8_RAT	Rbm39	RNA binding motif protein 39			2998.6	3496.45		1876.66	326.837
A0A8J8XSR6	A0A8J8XSR6	A0A8J8XSR6_RAT	Lysmd2	LysM domain containing 2	616.809						310.515
A0A8J8YHW4	A0A8J8YHW4	A0A8J8YHW4_RAT	Clk2	Secretory carrier-associated membrane protein	1010.74		646.707	942.984	1442.36	703.519	504.211
A0A8J8YNR6	Q5XI81;A0A8J8YNR6	A0A8J8YNR6_RAT	Fxr2	FMR1 autosomal homolog 2			453.371			382.013	336.358
A0A8J8YRV3	A0A8J8YRV3	A0A8J8YRV3_RAT	Drg1	Developmentally regulated GTP binding protein 1			87.2263				192.868
A0A8L2ULV1	A0A8L2ULV1	A0A8L2ULV1_RAT	ENSRNOG00000067484	G-protein coupled receptors family 1 profile domain-containing protein							120.469
A0JN30	A0JN30	A0JN30_RAT	Cnpy2	Canopy FGF signaling regulator 2	351.42		811.568	1118.45	640.79	923.869	778.103
A0JPJ7	A0JPJ7	OLA1_RAT	Ola1	Obg-like ATPase 1			728.468	490.467		516.884	185.903
A0MZ67	A0MZ67	SHOT1_RAT	Shtn1	Shootin-1	724.818		727.043	2307.84		834.676	1046.68
A1A5Q7	A1A5Q7	VWA3A_RAT	Vwa3a	von Willebrand factor A domain-containing protein 3A			316.859				98.4804
A1A5S1	A1A5S1	PRP6_RAT	Prpf6	Pre-mRNA-processing factor 6	633.149		299.322				237.65
A1L1I3	A1L1I3	NUMBL_RAT	Numbl	Numb-like protein		53631	31558.9			21727.5	3347.09
A2RUW1	A2RUW1	TOLIP_RAT	Tollip	Toll-interacting protein	658.785		892.982	1232.95	786.78	870.916	933.409
A2VCX1	A2VCX1	TIPRL_RAT	Tiprl	TIP41-like protein			197.033		2356.08		1594.91
A6H9T8	A6H9T8	A6H9T8_RAT	Cdc42ep3	CDC42 effector protein 3	261.242				356.21		299.391
A6HE59	A6HE59	A6HE59_RAT	Hnrnpab	Heterogeneous nuclear ribonucleoprotein A/B							127.618
A6HT35	A6HT35	A6HT35_RAT	Pmm1	Phosphomannomutase	328.911		668.729	246.874			466.847
A6HTJ5	A6HTJ5	A6HTJ5_RAT	Sorbs3	Sorbin and SH3 domain containing 3	264.688					218.646	196.709
A6I415	A6I415	A6I415_RAT	Entpd3	Ectonucleoside triphosphate diphosphohydrolase 3							119.911
A6IA08	A6IA08	A6IA08_RAT	Bag3	BAG cochaperone 3	670.453		902.483			627.464	1091.65
A6IHJ4;D3ZSF9	A6IHJ4;D3ZSF9	A6IHJ4_RAT;D3ZSF9_RAT	Rpl22l1;Rpl22l2	Ribosomal protein L22 like 1							269.56
A6IJH3	A6IJH3	A6IJH3_RAT	Sepsecs	O-phosphoseryl-tRNA(Sec) selenium transferase							85.797
A6IPZ9	A6IPZ9	A6IPZ9_RAT	Pdk3	Protein-serine/threonine kinase	774.504				665.003	437.993	177.122
A6IWF8	A6IWF8	A6IWF8_RAT	Champ1	Chromosome alignment maintaining phosphoprotein 1							51.1978
A6IXU7	Q4QRB4;A6IXU7	A6IXU7_RAT	Tubb6	Tubulin beta chain	3079.6		5491.26	8663.93	2690.48	3983.42	3021.76
A6JEF6	A6JEF6	A6JEF6_RAT	Cpg1	CPG1	556.984		648.971		292.522	769.707	182.857
A6JIS7	A6JIS7	A6JIS7_RAT	Polr1c	DNA-directed RNA polymerases I and III subunit RPAC1	469.78						252.619
A6JQB4	A6JQB4	A6JQB4_RAT	Prorsd1	PrdX deacylase domain-containing protein 1							61.1708
A6JTV7	A6JTV7	A6JTV7_RAT	Endog	Endonuclease			307.062				
A6JVD5	A6JVD5	A6JVD5_RAT	Alg5	dolichyl-phosphate beta-glucosyltransferase	984.14		1122.43	487.482	385.802	1073.08	380.705
A6K2U1	A6K2U1	A6K2U1_RAT	Psmd4	26S proteasome non-ATPase regulatory subunit 4						431.118	232.175
A6K6G4	A6K6G4	A6K6G4_RAT	Mtmr9	Myotubularin related protein 9				265.509		571.665	319.854
A6K9X0	A6K9X0	A6K9X0_RAT	Colgalt1	Collagen beta(1-O)galactosyltransferase 1			346.897				267.166
A6KF70	A6KF70	A6KF70_RAT	Epb41l3	Erythrocyte membrane protein band 4.1-like 3	1437.01		725.364		608.056		1064.32
A6KJF6	A6KJF6	A6KJF6_RAT	Erp44	BWK4	479.383	807.24	704.106		1423.06	529.121	531.413
A6KQR9	A6KQR9	A6KQR9_RAT	Tubb4a	Tubulin beta chain			161.023				164.646
A6KSS8	A6KSS8	A6KSS8_RAT	Mcm7	DNA replication licensing factor MCM7							113.272
A7VJC2	A7VJC2	ROA2_RAT	Hnrnpa2b1	Heterogeneous nuclear ribonucleoproteins A2/B1	4363.06	1722.21	7836.39	3025.71	3825.94	6084.13	7364.68
A9UMV8;P0CC09;Q4FZT6	Q00728;D3ZVK7;P0C169;Q4FZT6;Q64598;P0C170;A9UMV8;A0A8I6AWT3;G3V9C0;P02262;Q6I8Q6;A0A8I5ZYY0;M0RDM4;P0CC09;A0A8I6ARS7;A0A8L2QLK6	H2A2A_RAT;H2A3_RAT;H2AJ_RAT	H2ac18;H2ac25;H2aj	Histone H2A.J	594.089		786.539		1135.95	662.051	1012.1
B0BN18	B0BN18	PFD2_RAT	Pfdn2	Prefoldin subunit 2	1739.32		1074.17	711.768		1251.07	2216.17
B0BN23	M0RDE4;B0BN23	B0BN23_RAT	Tspan15	Tetraspanin	322.091		912.746			488.019	206.399
B0BN30	B0BN30	B0BN30_RAT	Mtch1	Mitochondrial carrier 1	2361.86	1253.69	1126.79	1730.37	1379.37	501.647	1921.48
B0BN56	B0BN56	RT31_RAT	Mrps31	Small ribosomal subunit protein mS31							213.021
B0BN63	B0BN63	B0BN63_RAT	Ahsa1	Activator of Hsp90 ATPase activity 1							107.552
B0BN72	B0BN72	MCRI1_RAT	Mcrip1	Mapk-regulated corepressor-interacting protein 1							165.559
B0BN83	B0BN83	B0BN83_RAT	Armc1	Armadillo repeat-containing protein 1	880.33		579.545	876.524		519.127	391.973
B0BN85	B0BN85	SGT1_RAT	Sugt1	Protein SGT1 homolog			845.898	501.428			150.48
B0BN93	B0BN93	PSD13_RAT	Psmd13	26S proteasome non-ATPase regulatory subunit 13	364.635		1024.91			412.263	278.805
B0BN94	B0BN94	F136A_RAT	Fam136a	Protein FAM136A	1302.95		566.324			545.587	229.047
B0BNA7	B0BNA7	EIF3I_RAT	Eif3i	Eukaryotic translation initiation factor 3 subunit I	869.867		1251	2284.76	251.833	1431.86	1098.47
B0BNE7	B0BNE7	B0BNE7_RAT	Tspan7	Tetraspanin			952.119			241.243	243.661
B0BNF1	B0BNF1	SEPT8_RAT	Septin8	Septin-8	672.026		671.859	547.711		333.361	350.728
B0BNG0	B0BNG0	EMC2_RAT	Emc2	ER membrane protein complex subunit 2			292.549				143.21
B0BNM1	B0BNM1	NNRE_RAT	Naxe	NAD(P)H-hydrate epimerase			150.429				348.902
B0K014	B0K014	B0K014_RAT	Dtd1	D-aminoacyl-tRNA deacylase	664.082		547.315			599.478	883.729
B1H219	B1H219	B1H219_RAT	Dkk3	Dickkopf WNT signaling pathway inhibitor 3							118.012
B1H222	B1H222	GORAB_RAT	Gorab	RAB6-interacting golgin						479.935	72.165
B1H267	B1H267	SNX5_RAT	Snx5	Sorting nexin-5							288.492
B1H268	B1H268	MCMBP_RAT	Mcmbp	Mini-chromosome maintenance complex-binding protein			340.774				224.214
B1H269	B1H269	B1H269_RAT	Ddx27	RNA helicase							76.8337
B1WBS4	B1WBS4	B1WBS4_RAT	Vps26b	VPS26 retromer complex component B							89.4375
B1WC26	B1WC26	B1WC26_RAT	Nans	N-acetylneuraminate synthase			285.556			370.707	108.832
